# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4090.1349 2.9669e+14 2.9653e+14
4090.1465 2.9669e+14 2.9653e+14
4090.1581 2.9669e+14 2.9653e+14
4090.1696 2.9669e+14 2.9653e+14
4090.1812 2.9669e+14 2.9653e+14
4090.1928 2.9669e+14 2.9653e+14
4090.2043 2.9669e+14 2.9653e+14
4090.2159 2.9669e+14 2.9653e+14
4090.2275 2.9669e+14 2.9653e+14
4090.2391 2.9669e+14 2.9653e+14
4090.2506 2.9669e+14 2.9653e+14
4090.2622 2.9669e+14 2.9653e+14
4090.2738 2.9669e+14 2.9653e+14
4090.2853 2.9670e+14 2.9653e+14
4090.2969 2.9670e+14 2.9654e+14
4090.3085 2.9670e+14 2.9654e+14
4090.3200 2.9670e+14 2.9654e+14
4090.3316 2.9670e+14 2.9654e+14
4090.3432 2.9670e+14 2.9654e+14
4090.3548 2.9670e+14 2.9654e+14
4090.3663 2.9670e+14 2.9654e+14
4090.3779 2.9670e+14 2.9654e+14
4090.3895 2.9670e+14 2.9654e+14
4090.4010 2.9670e+14 2.9654e+14
4090.4126 2.9670e+14 2.9654e+14
4090.4242 2.9670e+14 2.9654e+14
4090.4358 2.9671e+14 2.9654e+14
4090.4473 2.9671e+14 2.9654e+14
4090.4589 2.9671e+14 2.9654e+14
4090.4705 2.9671e+14 2.9655e+14
4090.4820 2.9671e+14 2.9655e+14
4090.4936 2.9671e+14 2.9655e+14
4090.5052 2.9671e+14 2.9655e+14
4090.5168 2.9671e+14 2.9655e+14
4090.5283 2.9671e+14 2.9655e+14
4090.5399 2.9671e+14 2.9655e+14
4090.5515 2.9671e+14 2.9655e+14
4090.5630 2.9671e+14 2.9655e+14
4090.5746 2.9671e+14 2.9655e+14
4090.5862 2.9671e+14 2.9655e+14
4090.5977 2.9672e+14 2.9655e+14
4090.6093 2.9672e+14 2.9655e+14
4090.6209 2.9672e+14 2.9655e+14
4090.6325 2.9672e+14 2.9655e+14
4090.6440 2.9672e+14 2.9655e+14
4090.6556 2.9672e+14 2.9656e+14
4090.6672 2.9672e+14 2.9656e+14
4090.6787 2.9672e+14 2.9656e+14
4090.6903 2.9672e+14 2.9656e+14
4090.7019 2.9672e+14 2.9656e+14
4090.7135 2.9672e+14 2.9656e+14
4090.7250 2.9672e+14 2.9656e+14
4090.7366 2.9672e+14 2.9656e+14
4090.7482 2.9673e+14 2.9656e+14
4090.7597 2.9673e+14 2.9656e+14
4090.7713 2.9673e+14 2.9656e+14
4090.7829 2.9673e+14 2.9656e+14
4090.7945 2.9673e+14 2.9656e+14
4090.8060 2.9673e+14 2.9656e+14
4090.8176 2.9673e+14 2.9656e+14
4090.8292 2.9673e+14 2.9657e+14
