# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3961.3433 8.5559e+13 8.5559e+13
3961.3535 8.5560e+13 8.5560e+13
3961.3638 8.5560e+13 8.5560e+13
3961.3740 8.5561e+13 8.5561e+13
3961.3842 8.5561e+13 8.5561e+13
3961.3944 8.5562e+13 8.5562e+13
3961.4046 8.5562e+13 8.5562e+13
3961.4149 8.5563e+13 8.5563e+13
3961.4251 8.5563e+13 8.5563e+13
3961.4353 8.5564e+13 8.5564e+13
3961.4455 8.5564e+13 8.5564e+13
3961.4558 8.5565e+13 8.5565e+13
3961.4660 8.5565e+13 8.5565e+13
3961.4762 8.5566e+13 8.5566e+13
3961.4864 8.5566e+13 8.5566e+13
3961.4967 8.5567e+13 8.5567e+13
3961.5069 8.5567e+13 8.5567e+13
3961.5171 8.5568e+13 8.5568e+13
3961.5273 8.5568e+13 8.5568e+13
3961.5376 8.5569e+13 8.5569e+13
3961.5478 8.5569e+13 8.5569e+13
3961.5580 8.5570e+13 8.5570e+13
3961.5682 8.5570e+13 8.5570e+13
3961.5785 8.5571e+13 8.5571e+13
3961.5887 8.5571e+13 8.5571e+13
3961.5989 8.5572e+13 8.5572e+13
3961.6091 8.5572e+13 8.5572e+13
3961.6193 8.5573e+13 8.5573e+13
3961.6296 8.5573e+13 8.5573e+13
3961.6398 8.5574e+13 8.5574e+13
3961.6500 8.5574e+13 8.5574e+13
3961.6602 8.5575e+13 8.5575e+13
3961.6705 8.5575e+13 8.5575e+13
3961.6807 8.5576e+13 8.5576e+13
3961.6909 8.5576e+13 8.5576e+13
3961.7011 8.5577e+13 8.5577e+13
3961.7114 8.5577e+13 8.5577e+13
3961.7216 8.5578e+13 8.5578e+13
3961.7318 8.5578e+13 8.5578e+13
3961.7420 8.5579e+13 8.5579e+13
3961.7523 8.5579e+13 8.5579e+13
3961.7625 8.5580e+13 8.5580e+13
3961.7727 8.5580e+13 8.5580e+13
3961.7829 8.5581e+13 8.5581e+13
3961.7932 8.5581e+13 8.5581e+13
3961.8034 8.5582e+13 8.5582e+13
3961.8136 8.5582e+13 8.5582e+13
3961.8238 8.5583e+13 8.5583e+13
3961.8340 8.5583e+13 8.5583e+13
3961.8443 8.5584e+13 8.5584e+13
3961.8545 8.5584e+13 8.5584e+13
3961.8647 8.5585e+13 8.5585e+13
3961.8749 8.5585e+13 8.5585e+13
3961.8852 8.5586e+13 8.5586e+13
3961.8954 8.5586e+13 8.5586e+13
3961.9056 8.5587e+13 8.5587e+13
3961.9158 8.5587e+13 8.5587e+13
3961.9261 8.5588e+13 8.5588e+13
3961.9363 8.5588e+13 8.5588e+13
3961.9465 8.5589e+13 8.5589e+13
3961.9567 8.5589e+13 8.5589e+13
3961.9670 8.5590e+13 8.5590e+13
3961.9772 8.5590e+13 8.5590e+13
3961.9874 8.5591e+13 8.5591e+13
3961.9976 8.5591e+13 8.5591e+13
3962.0079 8.5592e+13 8.5592e+13
3962.0181 8.5592e+13 8.5592e+13
3962.0283 8.5593e+13 8.5593e+13
3962.0385 8.5593e+13 8.5593e+13
3962.0487 8.5594e+13 8.5594e+13
3962.0590 8.5594e+13 8.5594e+13
3962.0692 8.5595e+13 8.5595e+13
3962.0794 8.5595e+13 8.5595e+13
3962.0896 8.5596e+13 8.5596e+13
3962.0999 8.5596e+13 8.5596e+13
3962.1101 8.5597e+13 8.5597e+13
3962.1203 8.5597e+13 8.5597e+13
3962.1305 8.5598e+13 8.5598e+13
3962.1408 8.5598e+13 8.5598e+13
3962.1510 8.5599e+13 8.5599e+13
3962.1612 8.5599e+13 8.5599e+13
3962.1714 8.5600e+13 8.5600e+13
3962.1817 8.5600e+13 8.5600e+13
3962.1919 8.5601e+13 8.5601e+13
3962.2021 8.5601e+13 8.5601e+13
3962.2123 8.5602e+13 8.5602e+13
3962.2226 8.5602e+13 8.5602e+13
3962.2328 8.5603e+13 8.5603e+13
3962.2430 8.5603e+13 8.5603e+13
3962.2532 8.5604e+13 8.5604e+13
3962.2634 8.5604e+13 8.5604e+13
3962.2737 8.5605e+13 8.5605e+13
3962.2839 8.5605e+13 8.5605e+13
3962.2941 8.5606e+13 8.5606e+13
3962.3043 8.5606e+13 8.5606e+13
3962.3146 8.5607e+13 8.5607e+13
3962.3248 8.5607e+13 8.5607e+13
3962.3350 8.5608e+13 8.5608e+13
3962.3452 8.5608e+13 8.5608e+13
3962.3555 8.5609e+13 8.5609e+13
3962.3657 8.5609e+13 8.5609e+13
3962.3759 8.5610e+13 8.5610e+13
3962.3861 8.5610e+13 8.5610e+13
3962.3964 8.5611e+13 8.5611e+13
3962.4066 8.5611e+13 8.5611e+13
3962.4168 8.5612e+13 8.5612e+13
3962.4270 8.5612e+13 8.5612e+13
3962.4373 8.5613e+13 8.5613e+13
3962.4475 8.5613e+13 8.5613e+13
3962.4577 8.5614e+13 8.5614e+13
3962.4679 8.5614e+13 8.5614e+13
3962.4781 8.5615e+13 8.5615e+13
3962.4884 8.5615e+13 8.5615e+13
3962.4986 8.5616e+13 8.5616e+13
3962.5088 8.5616e+13 8.5616e+13
3962.5190 8.5617e+13 8.5617e+13
3962.5293 8.5617e+13 8.5617e+13
3962.5395 8.5618e+13 8.5618e+13
3962.5497 8.5618e+13 8.5618e+13
3962.5599 8.5619e+13 8.5619e+13
3962.5702 8.5619e+13 8.5619e+13
3962.5804 8.5620e+13 8.5620e+13
3962.5906 8.5620e+13 8.5620e+13
3962.6008 8.5621e+13 8.5621e+13
3962.6111 8.5621e+13 8.5621e+13
3962.6213 8.5622e+13 8.5622e+13
3962.6315 8.5622e+13 8.5622e+13
3962.6417 8.5623e+13 8.5623e+13
3962.6520 8.5623e+13 8.5623e+13
3962.6622 8.5624e+13 8.5624e+13
3962.6724 8.5624e+13 8.5624e+13
3962.6826 8.5625e+13 8.5625e+13
3962.6928 8.5625e+13 8.5625e+13
3962.7031 8.5626e+13 8.5626e+13
3962.7133 8.5626e+13 8.5626e+13
3962.7235 8.5627e+13 8.5627e+13
3962.7337 8.5627e+13 8.5627e+13
3962.7440 8.5628e+13 8.5628e+13
3962.7542 8.5628e+13 8.5628e+13
3962.7644 8.5629e+13 8.5629e+13
3962.7746 8.5629e+13 8.5629e+13
3962.7849 8.5630e+13 8.5630e+13
3962.7951 8.5630e+13 8.5630e+13
3962.8053 8.5631e+13 8.5631e+13
3962.8155 8.5631e+13 8.5631e+13
3962.8258 8.5632e+13 8.5632e+13
3962.8360 8.5632e+13 8.5632e+13
3962.8462 8.5633e+13 8.5633e+13
3962.8564 8.5633e+13 8.5633e+13
3962.8667 8.5634e+13 8.5634e+13
3962.8769 8.5634e+13 8.5634e+13
3962.8871 8.5635e+13 8.5635e+13
3962.8973 8.5635e+13 8.5635e+13
3962.9075 8.5636e+13 8.5636e+13
3962.9178 8.5636e+13 8.5636e+13
3962.9280 8.5637e+13 8.5637e+13
3962.9382 8.5637e+13 8.5637e+13
3962.9484 8.5638e+13 8.5638e+13
3962.9587 8.5638e+13 8.5638e+13
3962.9689 8.5639e+13 8.5639e+13
3962.9791 8.5639e+13 8.5639e+13
3962.9893 8.5640e+13 8.5640e+13
3962.9996 8.5640e+13 8.5640e+13
3963.0098 8.5641e+13 8.5641e+13
3963.0200 8.5641e+13 8.5641e+13
3963.0302 8.5642e+13 8.5642e+13
3963.0405 8.5642e+13 8.5642e+13
3963.0507 8.5643e+13 8.5643e+13
3963.0609 8.5643e+13 8.5643e+13
3963.0711 8.5644e+13 8.5644e+13
3963.0814 8.5644e+13 8.5644e+13
3963.0916 8.5645e+13 8.5645e+13
3963.1018 8.5645e+13 8.5645e+13
3963.1120 8.5646e+13 8.5646e+13
3963.1222 8.5646e+13 8.5646e+13
3963.1325 8.5647e+13 8.5647e+13
3963.1427 8.5647e+13 8.5647e+13
3963.1529 8.5648e+13 8.5648e+13
3963.1631 8.5648e+13 8.5648e+13
3963.1734 8.5649e+13 8.5649e+13
3963.1836 8.5649e+13 8.5649e+13
3963.1938 8.5650e+13 8.5650e+13
3963.2040 8.5650e+13 8.5650e+13
3963.2143 8.5651e+13 8.5651e+13
3963.2245 8.5651e+13 8.5651e+13
3963.2347 8.5652e+13 8.5652e+13
3963.2449 8.5652e+13 8.5652e+13
3963.2552 8.5653e+13 8.5653e+13
3963.2654 8.5653e+13 8.5653e+13
3963.2756 8.5654e+13 8.5654e+13
3963.2858 8.5654e+13 8.5654e+13
3963.2961 8.5655e+13 8.5655e+13
3963.3063 8.5655e+13 8.5655e+13
3963.3165 8.5656e+13 8.5656e+13
3963.3267 8.5656e+13 8.5656e+13
3963.3369 8.5657e+13 8.5657e+13
3963.3472 8.5657e+13 8.5657e+13
3963.3574 8.5658e+13 8.5658e+13
3963.3676 8.5658e+13 8.5658e+13
3963.3778 8.5659e+13 8.5659e+13
3963.3881 8.5659e+13 8.5659e+13
3963.3983 8.5660e+13 8.5660e+13
3963.4085 8.5660e+13 8.5660e+13
3963.4187 8.5661e+13 8.5661e+13
3963.4290 8.5661e+13 8.5661e+13
3963.4392 8.5662e+13 8.5662e+13
3963.4494 8.5662e+13 8.5662e+13
3963.4596 8.5663e+13 8.5663e+13
3963.4699 8.5663e+13 8.5663e+13
3963.4801 8.5664e+13 8.5664e+13
3963.4903 8.5664e+13 8.5664e+13
3963.5005 8.5665e+13 8.5665e+13
3963.5108 8.5665e+13 8.5665e+13
3963.5210 8.5666e+13 8.5666e+13
3963.5312 8.5666e+13 8.5666e+13
3963.5414 8.5667e+13 8.5667e+13
3963.5516 8.5667e+13 8.5667e+13
3963.5619 8.5668e+13 8.5668e+13
3963.5721 8.5668e+13 8.5668e+13
3963.5823 8.5669e+13 8.5669e+13
3963.5925 8.5669e+13 8.5669e+13
3963.6028 8.5670e+13 8.5670e+13
3963.6130 8.5670e+13 8.5670e+13
3963.6232 8.5671e+13 8.5671e+13
3963.6334 8.5671e+13 8.5671e+13
3963.6437 8.5672e+13 8.5672e+13
3963.6539 8.5672e+13 8.5672e+13
3963.6641 8.5673e+13 8.5673e+13
3963.6743 8.5673e+13 8.5673e+13
3963.6846 8.5674e+13 8.5674e+13
3963.6948 8.5674e+13 8.5674e+13
3963.7050 8.5675e+13 8.5675e+13
3963.7152 8.5675e+13 8.5675e+13
3963.7255 8.5676e+13 8.5676e+13
3963.7357 8.5676e+13 8.5676e+13
3963.7459 8.5677e+13 8.5677e+13
3963.7561 8.5677e+13 8.5677e+13
3963.7663 8.5678e+13 8.5678e+13
3963.7766 8.5678e+13 8.5678e+13
3963.7868 8.5679e+13 8.5679e+13
3963.7970 8.5679e+13 8.5679e+13
3963.8072 8.5680e+13 8.5680e+13
3963.8175 8.5680e+13 8.5680e+13
3963.8277 8.5681e+13 8.5681e+13
3963.8379 8.5681e+13 8.5681e+13
3963.8481 8.5682e+13 8.5682e+13
3963.8584 8.5682e+13 8.5682e+13
3963.8686 8.5683e+13 8.5683e+13
3963.8788 8.5683e+13 8.5683e+13
3963.8890 8.5684e+13 8.5684e+13
3963.8993 8.5684e+13 8.5684e+13
3963.9095 8.5685e+13 8.5685e+13
3963.9197 8.5685e+13 8.5685e+13
3963.9299 8.5686e+13 8.5686e+13
3963.9402 8.5686e+13 8.5686e+13
3963.9504 8.5687e+13 8.5687e+13
3963.9606 8.5687e+13 8.5687e+13
3963.9708 8.5688e+13 8.5688e+13
3963.9810 8.5688e+13 8.5688e+13
3963.9913 8.5689e+13 8.5689e+13
3964.0015 8.5689e+13 8.5689e+13
3964.0117 8.5690e+13 8.5690e+13
3964.0219 8.5690e+13 8.5690e+13
3964.0322 8.5691e+13 8.5691e+13
3964.0424 8.5691e+13 8.5691e+13
3964.0526 8.5692e+13 8.5692e+13
3964.0628 8.5692e+13 8.5692e+13
3964.0731 8.5693e+13 8.5693e+13
3964.0833 8.5693e+13 8.5693e+13
3964.0935 8.5694e+13 8.5694e+13
3964.1037 8.5694e+13 8.5694e+13
3964.1140 8.5695e+13 8.5695e+13
3964.1242 8.5695e+13 8.5695e+13
3964.1344 8.5696e+13 8.5696e+13
3964.1446 8.5696e+13 8.5696e+13
3964.1549 8.5697e+13 8.5697e+13
3964.1651 8.5697e+13 8.5697e+13
3964.1753 8.5698e+13 8.5698e+13
3964.1855 8.5698e+13 8.5698e+13
3964.1957 8.5699e+13 8.5699e+13
3964.2060 8.5699e+13 8.5699e+13
3964.2162 8.5700e+13 8.5700e+13
3964.2264 8.5700e+13 8.5700e+13
3964.2366 8.5701e+13 8.5701e+13
3964.2469 8.5701e+13 8.5701e+13
3964.2571 8.5702e+13 8.5702e+13
3964.2673 8.5702e+13 8.5702e+13
3964.2775 8.5703e+13 8.5703e+13
3964.2878 8.5703e+13 8.5703e+13
3964.2980 8.5704e+13 8.5704e+13
3964.3082 8.5704e+13 8.5704e+13
3964.3184 8.5705e+13 8.5705e+13
3964.3287 8.5705e+13 8.5705e+13
3964.3389 8.5706e+13 8.5706e+13
3964.3491 8.5706e+13 8.5706e+13
3964.3593 8.5707e+13 8.5707e+13
3964.3696 8.5707e+13 8.5707e+13
3964.3798 8.5708e+13 8.5708e+13
3964.3900 8.5708e+13 8.5708e+13
3964.4002 8.5709e+13 8.5709e+13
3964.4104 8.5709e+13 8.5709e+13
3964.4207 8.5710e+13 8.5710e+13
3964.4309 8.5710e+13 8.5710e+13
3964.4411 8.5711e+13 8.5711e+13
3964.4513 8.5711e+13 8.5711e+13
3964.4616 8.5712e+13 8.5712e+13
3964.4718 8.5712e+13 8.5712e+13
3964.4820 8.5713e+13 8.5713e+13
3964.4922 8.5713e+13 8.5713e+13
3964.5025 8.5714e+13 8.5714e+13
3964.5127 8.5714e+13 8.5714e+13
3964.5229 8.5715e+13 8.5715e+13
3964.5331 8.5715e+13 8.5715e+13
3964.5434 8.5716e+13 8.5716e+13
3964.5536 8.5716e+13 8.5716e+13
3964.5638 8.5717e+13 8.5717e+13
3964.5740 8.5717e+13 8.5717e+13
3964.5843 8.5718e+13 8.5718e+13
3964.5945 8.5718e+13 8.5718e+13
3964.6047 8.5719e+13 8.5719e+13
3964.6149 8.5719e+13 8.5719e+13
3964.6251 8.5720e+13 8.5720e+13
3964.6354 8.5720e+13 8.5720e+13
3964.6456 8.5721e+13 8.5721e+13
3964.6558 8.5721e+13 8.5721e+13
3964.6660 8.5722e+13 8.5722e+13
3964.6763 8.5722e+13 8.5722e+13
3964.6865 8.5723e+13 8.5723e+13
3964.6967 8.5723e+13 8.5723e+13
3964.7069 8.5724e+13 8.5724e+13
3964.7172 8.5724e+13 8.5724e+13
3964.7274 8.5725e+13 8.5725e+13
3964.7376 8.5725e+13 8.5725e+13
3964.7478 8.5726e+13 8.5726e+13
3964.7581 8.5726e+13 8.5726e+13
3964.7683 8.5727e+13 8.5727e+13
3964.7785 8.5727e+13 8.5727e+13
3964.7887 8.5728e+13 8.5728e+13
3964.7990 8.5728e+13 8.5728e+13
3964.8092 8.5729e+13 8.5729e+13
3964.8194 8.5729e+13 8.5729e+13
3964.8296 8.5730e+13 8.5730e+13
3964.8398 8.5730e+13 8.5730e+13
3964.8501 8.5731e+13 8.5731e+13
3964.8603 8.5731e+13 8.5731e+13
3964.8705 8.5732e+13 8.5732e+13
3964.8807 8.5732e+13 8.5732e+13
3964.8910 8.5733e+13 8.5733e+13
3964.9012 8.5733e+13 8.5733e+13
3964.9114 8.5734e+13 8.5734e+13
3964.9216 8.5734e+13 8.5734e+13
3964.9319 8.5735e+13 8.5735e+13
3964.9421 8.5735e+13 8.5735e+13
3964.9523 8.5736e+13 8.5736e+13
3964.9625 8.5736e+13 8.5736e+13
3964.9728 8.5737e+13 8.5737e+13
3964.9830 8.5737e+13 8.5737e+13
3964.9932 8.5738e+13 8.5738e+13
3965.0034 8.5738e+13 8.5738e+13
3965.0137 8.5739e+13 8.5739e+13
3965.0239 8.5739e+13 8.5739e+13
