# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4845.4727 1.1170e+15 4.8519e+10
4845.4885 1.1170e+15 4.7949e+10
4845.5044 1.1170e+15 4.7384e+10
4845.5202 1.1170e+15 4.6826e+10
4845.5360 1.1170e+15 4.6273e+10
4845.5519 1.1169e+15 4.5726e+10
4845.5677 1.1169e+15 4.5185e+10
4845.5836 1.1169e+15 4.4650e+10
4845.5994 1.1169e+15 4.4120e+10
4845.6152 1.1169e+15 4.3595e+10
4845.6311 1.1169e+15 4.3077e+10
4845.6469 1.1169e+15 4.2564e+10
4845.6627 1.1169e+15 4.2056e+10
4845.6786 1.1169e+15 4.1553e+10
4845.6944 1.1169e+15 4.1056e+10
4845.7102 1.1169e+15 4.0565e+10
4845.7261 1.1169e+15 4.0078e+10
4845.7419 1.1169e+15 3.9597e+10
4845.7577 1.1169e+15 3.9121e+10
4845.7736 1.1169e+15 3.8650e+10
4845.7894 1.1169e+15 3.8184e+10
4845.8052 1.1169e+15 3.7723e+10
4845.8211 1.1169e+15 3.7266e+10
4845.8369 1.1169e+15 3.6815e+10
4845.8527 1.1169e+15 3.6369e+10
4845.8686 1.1169e+15 3.5928e+10
4845.8844 1.1169e+15 3.5491e+10
4845.9003 1.1169e+15 3.5059e+10
4845.9161 1.1168e+15 3.4632e+10
4845.9319 1.1168e+15 3.4209e+10
4845.9478 1.1168e+15 3.3791e+10
4845.9636 1.1168e+15 3.3378e+10
4845.9794 1.1168e+15 3.2969e+10
4845.9953 1.1168e+15 3.2564e+10
4846.0111 1.1168e+15 3.2164e+10
4846.0269 1.1168e+15 3.1769e+10
4846.0428 1.1168e+15 3.1378e+10
4846.0586 1.1168e+15 3.0991e+10
4846.0744 1.1168e+15 3.0608e+10
4846.0903 1.1168e+15 3.0229e+10
4846.1061 1.1168e+15 2.9855e+10
4846.1219 1.1168e+15 2.9485e+10
4846.1378 1.1168e+15 2.9119e+10
4846.1536 1.1168e+15 2.8757e+10
4846.1695 1.1168e+15 2.8399e+10
4846.1853 1.1168e+15 2.8045e+10
4846.2011 1.1168e+15 2.7695e+10
4846.2170 1.1168e+15 2.7349e+10
4846.2328 1.1168e+15 2.7007e+10
4846.2486 1.1168e+15 2.6669e+10
4846.2645 1.1168e+15 2.6334e+10
4846.2803 1.1167e+15 2.6003e+10
4846.2961 1.1167e+15 2.5676e+10
4846.3120 1.1167e+15 2.5353e+10
4846.3278 1.1167e+15 2.5033e+10
4846.3436 1.1167e+15 2.4717e+10
4846.3595 1.1167e+15 2.4405e+10
4846.3753 1.1167e+15 2.4096e+10
4846.3911 1.1167e+15 2.3790e+10
4846.4070 1.1167e+15 2.3488e+10
4846.4228 1.1167e+15 2.3190e+10
4846.4387 1.1167e+15 2.2895e+10
4846.4545 1.1167e+15 2.2603e+10
4846.4703 1.1167e+15 2.2314e+10
4846.4862 1.1167e+15 2.2029e+10
4846.5020 1.1167e+15 2.1748e+10
4846.5178 1.1167e+15 2.1469e+10
4846.5337 1.1167e+15 2.1194e+10
4846.5495 1.1167e+15 2.0921e+10
4846.5653 1.1167e+15 2.0652e+10
4846.5812 1.1167e+15 2.0387e+10
4846.5970 1.1167e+15 2.0124e+10
4846.6128 1.1167e+15 1.9864e+10
4846.6287 1.1167e+15 1.9607e+10
4846.6445 1.1166e+15 1.9353e+10
4846.6603 1.1166e+15 1.9103e+10
4846.6762 1.1166e+15 1.8855e+10
4846.6920 1.1166e+15 1.8610e+10
4846.7079 1.1166e+15 1.8368e+10
4846.7237 1.1166e+15 1.8129e+10
4846.7395 1.1166e+15 1.7892e+10
4846.7554 1.1166e+15 1.7658e+10
4846.7712 1.1166e+15 1.7428e+10
4846.7870 1.1166e+15 1.7199e+10
4846.8029 1.1166e+15 1.6974e+10
4846.8187 1.1166e+15 1.6751e+10
4846.8345 1.1166e+15 1.6531e+10
4846.8504 1.1166e+15 1.6313e+10
4846.8662 1.1166e+15 1.6098e+10
4846.8820 1.1166e+15 1.5886e+10
4846.8979 1.1166e+15 1.5676e+10
4846.9137 1.1166e+15 1.5469e+10
4846.9295 1.1166e+15 1.5264e+10
4846.9454 1.1166e+15 1.5062e+10
4846.9612 1.1166e+15 1.4862e+10
4846.9770 1.1166e+15 1.4664e+10
4846.9929 1.1166e+15 1.4469e+10
4847.0087 1.1165e+15 1.4276e+10
4847.0246 1.1165e+15 1.4086e+10
4847.0404 1.1165e+15 1.3897e+10
4847.0562 1.1165e+15 1.3711e+10
4847.0721 1.1165e+15 1.3528e+10
4847.0879 1.1165e+15 1.3346e+10
4847.1037 1.1165e+15 1.3167e+10
4847.1196 1.1165e+15 1.2990e+10
4847.1354 1.1165e+15 1.2815e+10
4847.1512 1.1165e+15 1.2642e+10
4847.1671 1.1165e+15 1.2472e+10
4847.1829 1.1165e+15 1.2303e+10
4847.1987 1.1165e+15 1.2137e+10
4847.2146 1.1165e+15 1.1972e+10
4847.2304 1.1165e+15 1.1810e+10
4847.2462 1.1165e+15 1.1650e+10
4847.2621 1.1165e+15 1.1491e+10
4847.2779 1.1165e+15 1.1335e+10
4847.2938 1.1165e+15 1.1180e+10
4847.3096 1.1165e+15 1.1028e+10
4847.3254 1.1165e+15 1.0877e+10
4847.3413 1.1165e+15 1.0728e+10
4847.3571 1.1164e+15 1.0581e+10
4847.3729 1.1164e+15 1.0436e+10
4847.3888 1.1164e+15 1.0293e+10
4847.4046 1.1164e+15 1.0151e+10
4847.4204 1.1164e+15 1.0011e+10
4847.4363 1.1164e+15 9.8732e+09
4847.4521 1.1164e+15 9.7369e+09
4847.4679 1.1164e+15 9.6024e+09
4847.4838 1.1164e+15 9.4695e+09
4847.4996 1.1164e+15 9.3383e+09
4847.5154 1.1164e+15 9.2088e+09
4847.5313 1.1164e+15 9.0809e+09
4847.5471 1.1164e+15 8.9546e+09
4847.5630 1.1164e+15 8.8299e+09
4847.5788 1.1164e+15 8.7069e+09
4847.5946 1.1164e+15 8.5853e+09
4847.6105 1.1164e+15 8.4654e+09
4847.6263 1.1164e+15 8.3469e+09
4847.6421 1.1164e+15 8.2300e+09
4847.6580 1.1164e+15 8.1146e+09
4847.6738 1.1164e+15 8.0007e+09
4847.6896 1.1164e+15 7.8882e+09
4847.7055 1.1164e+15 7.7771e+09
4847.7213 1.1163e+15 7.6675e+09
4847.7371 1.1163e+15 7.5593e+09
4847.7530 1.1163e+15 7.4526e+09
