# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3958.0091 6.8497e+14 6.6135e+14
3958.0212 6.8497e+14 6.6134e+14
3958.0333 6.8497e+14 6.6133e+14
3958.0454 6.8497e+14 6.6132e+14
3958.0575 6.8497e+14 6.6131e+14
3958.0696 6.8497e+14 6.6129e+14
3958.0816 6.8497e+14 6.6128e+14
3958.0937 6.8497e+14 6.6127e+14
3958.1058 6.8497e+14 6.6126e+14
3958.1179 6.8497e+14 6.6125e+14
3958.1300 6.8497e+14 6.6123e+14
3958.1421 6.8497e+14 6.6122e+14
3958.1542 6.8497e+14 6.6121e+14
3958.1663 6.8497e+14 6.6120e+14
3958.1784 6.8497e+14 6.6118e+14
3958.1905 6.8497e+14 6.6117e+14
3958.2026 6.8498e+14 6.6116e+14
3958.2147 6.8498e+14 6.6115e+14
3958.2268 6.8498e+14 6.6114e+14
3958.2389 6.8498e+14 6.6112e+14
3958.2510 6.8498e+14 6.6111e+14
3958.2631 6.8498e+14 6.6110e+14
3958.2752 6.8498e+14 6.6109e+14
3958.2873 6.8498e+14 6.6108e+14
3958.2994 6.8498e+14 6.6106e+14
3958.3115 6.8498e+14 6.6105e+14
3958.3236 6.8498e+14 6.6104e+14
3958.3357 6.8498e+14 6.6103e+14
3958.3478 6.8498e+14 6.6102e+14
3958.3599 6.8498e+14 6.6100e+14
3958.3720 6.8498e+14 6.6099e+14
3958.3841 6.8498e+14 6.6098e+14
3958.3962 6.8498e+14 6.6097e+14
3958.4083 6.8498e+14 6.6095e+14
3958.4204 6.8498e+14 6.6094e+14
3958.4325 6.8498e+14 6.6093e+14
3958.4446 6.8498e+14 6.6092e+14
3958.4567 6.8498e+14 6.6091e+14
3958.4688 6.8499e+14 6.6089e+14
3958.4809 6.8499e+14 6.6088e+14
3958.4929 6.8499e+14 6.6087e+14
3958.5050 6.8499e+14 6.6086e+14
3958.5171 6.8499e+14 6.6085e+14
3958.5292 6.8499e+14 6.6083e+14
3958.5413 6.8499e+14 6.6082e+14
3958.5534 6.8499e+14 6.6081e+14
3958.5655 6.8499e+14 6.6080e+14
3958.5776 6.8499e+14 6.6079e+14
3958.5897 6.8499e+14 6.6077e+14
3958.6018 6.8499e+14 6.6076e+14
3958.6139 6.8499e+14 6.6075e+14
3958.6260 6.8499e+14 6.6074e+14
3958.6381 6.8499e+14 6.6072e+14
3958.6502 6.8499e+14 6.6071e+14
3958.6623 6.8499e+14 6.6070e+14
3958.6744 6.8499e+14 6.6069e+14
3958.6865 6.8499e+14 6.6068e+14
3958.6986 6.8499e+14 6.6066e+14
3958.7107 6.8499e+14 6.6065e+14
3958.7228 6.8500e+14 6.6064e+14
3958.7349 6.8500e+14 6.6063e+14
3958.7470 6.8500e+14 6.6062e+14
3958.7591 6.8500e+14 6.6060e+14
3958.7712 6.8500e+14 6.6059e+14
3958.7833 6.8500e+14 6.6058e+14
3958.7954 6.8500e+14 6.6057e+14
3958.8075 6.8500e+14 6.6056e+14
3958.8196 6.8500e+14 6.6054e+14
3958.8317 6.8500e+14 6.6053e+14
3958.8438 6.8500e+14 6.6052e+14
3958.8559 6.8500e+14 6.6051e+14
3958.8680 6.8500e+14 6.6049e+14
3958.8801 6.8500e+14 6.6048e+14
3958.8921 6.8500e+14 6.6047e+14
3958.9042 6.8500e+14 6.6046e+14
3958.9163 6.8500e+14 6.6045e+14
3958.9284 6.8500e+14 6.6043e+14
3958.9405 6.8500e+14 6.6042e+14
3958.9526 6.8500e+14 6.6041e+14
3958.9647 6.8500e+14 6.6040e+14
3958.9768 6.8500e+14 6.6039e+14
3958.9889 6.8501e+14 6.6037e+14
3959.0010 6.8501e+14 6.6036e+14
3959.0131 6.8501e+14 6.6035e+14
3959.0252 6.8501e+14 6.6034e+14
3959.0373 6.8501e+14 6.6033e+14
3959.0494 6.8501e+14 6.6031e+14
3959.0615 6.8501e+14 6.6030e+14
3959.0736 6.8501e+14 6.6029e+14
3959.0857 6.8501e+14 6.6028e+14
3959.0978 6.8501e+14 6.6026e+14
3959.1099 6.8501e+14 6.6025e+14
3959.1220 6.8501e+14 6.6024e+14
3959.1341 6.8501e+14 6.6023e+14
3959.1462 6.8501e+14 6.6022e+14
3959.1583 6.8501e+14 6.6020e+14
3959.1704 6.8501e+14 6.6019e+14
3959.1825 6.8501e+14 6.6018e+14
3959.1946 6.8501e+14 6.6017e+14
3959.2067 6.8501e+14 6.6016e+14
3959.2188 6.8501e+14 6.6014e+14
3959.2309 6.8501e+14 6.6013e+14
3959.2430 6.8501e+14 6.6012e+14
3959.2551 6.8502e+14 6.6011e+14
3959.2672 6.8502e+14 6.6010e+14
