# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4848.7874 1.1791e+14 1.1791e+14
4848.7999 1.1791e+14 1.1791e+14
4848.8125 1.1791e+14 1.1791e+14
4848.8250 1.1791e+14 1.1791e+14
4848.8375 1.1791e+14 1.1791e+14
4848.8500 1.1791e+14 1.1791e+14
4848.8625 1.1791e+14 1.1791e+14
4848.8751 1.1791e+14 1.1791e+14
4848.8876 1.1791e+14 1.1791e+14
4848.9001 1.1791e+14 1.1791e+14
4848.9126 1.1791e+14 1.1791e+14
4848.9251 1.1791e+14 1.1791e+14
4848.9376 1.1791e+14 1.1791e+14
4848.9502 1.1792e+14 1.1791e+14
4848.9627 1.1792e+14 1.1791e+14
4848.9752 1.1792e+14 1.1792e+14
4848.9877 1.1792e+14 1.1792e+14
4849.0002 1.1792e+14 1.1792e+14
4849.0128 1.1792e+14 1.1792e+14
4849.0253 1.1792e+14 1.1792e+14
4849.0378 1.1792e+14 1.1792e+14
4849.0503 1.1792e+14 1.1792e+14
4849.0628 1.1792e+14 1.1792e+14
4849.0754 1.1792e+14 1.1792e+14
4849.0879 1.1792e+14 1.1792e+14
4849.1004 1.1792e+14 1.1792e+14
4849.1129 1.1792e+14 1.1792e+14
4849.1254 1.1792e+14 1.1792e+14
4849.1380 1.1792e+14 1.1792e+14
4849.1505 1.1792e+14 1.1792e+14
4849.1630 1.1792e+14 1.1792e+14
4849.1755 1.1792e+14 1.1792e+14
4849.1880 1.1792e+14 1.1792e+14
4849.2005 1.1792e+14 1.1792e+14
4849.2131 1.1792e+14 1.1792e+14
4849.2256 1.1792e+14 1.1792e+14
4849.2381 1.1792e+14 1.1792e+14
4849.2506 1.1792e+14 1.1792e+14
4849.2631 1.1792e+14 1.1792e+14
4849.2757 1.1792e+14 1.1792e+14
4849.2882 1.1792e+14 1.1792e+14
4849.3007 1.1792e+14 1.1792e+14
4849.3132 1.1792e+14 1.1792e+14
4849.3257 1.1792e+14 1.1792e+14
4849.3383 1.1792e+14 1.1792e+14
4849.3508 1.1792e+14 1.1792e+14
4849.3633 1.1792e+14 1.1792e+14
4849.3758 1.1792e+14 1.1792e+14
4849.3883 1.1793e+14 1.1792e+14
4849.4008 1.1793e+14 1.1792e+14
4849.4134 1.1793e+14 1.1793e+14
4849.4259 1.1793e+14 1.1793e+14
4849.4384 1.1793e+14 1.1793e+14
4849.4509 1.1793e+14 1.1793e+14
4849.4634 1.1793e+14 1.1793e+14
4849.4760 1.1793e+14 1.1793e+14
4849.4885 1.1793e+14 1.1793e+14
4849.5010 1.1793e+14 1.1793e+14
4849.5135 1.1793e+14 1.1793e+14
4849.5260 1.1793e+14 1.1793e+14
4849.5386 1.1793e+14 1.1793e+14
4849.5511 1.1793e+14 1.1793e+14
4849.5636 1.1793e+14 1.1793e+14
4849.5761 1.1793e+14 1.1793e+14
4849.5886 1.1793e+14 1.1793e+14
4849.6011 1.1793e+14 1.1793e+14
4849.6137 1.1793e+14 1.1793e+14
4849.6262 1.1793e+14 1.1793e+14
4849.6387 1.1793e+14 1.1793e+14
4849.6512 1.1793e+14 1.1793e+14
4849.6637 1.1793e+14 1.1793e+14
4849.6763 1.1793e+14 1.1793e+14
4849.6888 1.1793e+14 1.1793e+14
4849.7013 1.1793e+14 1.1793e+14
4849.7138 1.1793e+14 1.1793e+14
4849.7263 1.1793e+14 1.1793e+14
4849.7389 1.1793e+14 1.1793e+14
4849.7514 1.1793e+14 1.1793e+14
4849.7639 1.1793e+14 1.1793e+14
4849.7764 1.1793e+14 1.1793e+14
4849.7889 1.1793e+14 1.1793e+14
4849.8014 1.1793e+14 1.1793e+14
4849.8140 1.1793e+14 1.1793e+14
4849.8265 1.1794e+14 1.1793e+14
4849.8390 1.1794e+14 1.1794e+14
4849.8515 1.1794e+14 1.1794e+14
4849.8640 1.1794e+14 1.1794e+14
4849.8766 1.1794e+14 1.1794e+14
4849.8891 1.1794e+14 1.1794e+14
4849.9016 1.1794e+14 1.1794e+14
4849.9141 1.1794e+14 1.1794e+14
4849.9266 1.1794e+14 1.1794e+14
4849.9392 1.1794e+14 1.1794e+14
4849.9517 1.1794e+14 1.1794e+14
4849.9642 1.1794e+14 1.1794e+14
4849.9767 1.1794e+14 1.1794e+14
4849.9892 1.1794e+14 1.1794e+14
4850.0018 1.1794e+14 1.1794e+14
4850.0143 1.1794e+14 1.1794e+14
4850.0268 1.1794e+14 1.1794e+14
4850.0393 1.1794e+14 1.1794e+14
4850.0518 1.1794e+14 1.1794e+14
4850.0643 1.1794e+14 1.1794e+14
4850.0769 1.1794e+14 1.1794e+14
4850.0894 1.1794e+14 1.1794e+14
4850.1019 1.1794e+14 1.1794e+14
4850.1144 1.1794e+14 1.1794e+14
4850.1269 1.1794e+14 1.1794e+14
4850.1395 1.1794e+14 1.1794e+14
4850.1520 1.1794e+14 1.1794e+14
4850.1645 1.1794e+14 1.1794e+14
4850.1770 1.1794e+14 1.1794e+14
4850.1895 1.1794e+14 1.1794e+14
4850.2021 1.1794e+14 1.1794e+14
4850.2146 1.1794e+14 1.1794e+14
4850.2271 1.1794e+14 1.1794e+14
4850.2396 1.1794e+14 1.1794e+14
4850.2521 1.1795e+14 1.1794e+14
4850.2646 1.1795e+14 1.1794e+14
4850.2772 1.1795e+14 1.1795e+14
4850.2897 1.1795e+14 1.1795e+14
4850.3022 1.1795e+14 1.1795e+14
4850.3147 1.1795e+14 1.1795e+14
4850.3272 1.1795e+14 1.1795e+14
4850.3398 1.1795e+14 1.1795e+14
4850.3523 1.1795e+14 1.1795e+14
4850.3648 1.1795e+14 1.1795e+14
4850.3773 1.1795e+14 1.1795e+14
4850.3898 1.1795e+14 1.1795e+14
4850.4024 1.1795e+14 1.1795e+14
4850.4149 1.1795e+14 1.1795e+14
4850.4274 1.1795e+14 1.1795e+14
4850.4399 1.1795e+14 1.1795e+14
4850.4524 1.1795e+14 1.1795e+14
4850.4649 1.1795e+14 1.1795e+14
4850.4775 1.1795e+14 1.1795e+14
4850.4900 1.1795e+14 1.1795e+14
4850.5025 1.1795e+14 1.1795e+14
4850.5150 1.1795e+14 1.1795e+14
4850.5275 1.1795e+14 1.1795e+14
4850.5401 1.1795e+14 1.1795e+14
4850.5526 1.1795e+14 1.1795e+14
4850.5651 1.1795e+14 1.1795e+14
4850.5776 1.1795e+14 1.1795e+14
4850.5901 1.1795e+14 1.1795e+14
4850.6027 1.1795e+14 1.1795e+14
4850.6152 1.1795e+14 1.1795e+14
4850.6277 1.1795e+14 1.1795e+14
4850.6402 1.1795e+14 1.1795e+14
4850.6527 1.1795e+14 1.1795e+14
4850.6652 1.1795e+14 1.1795e+14
4850.6778 1.1795e+14 1.1795e+14
4850.6903 1.1796e+14 1.1795e+14
4850.7028 1.1796e+14 1.1795e+14
4850.7153 1.1796e+14 1.1796e+14
4850.7278 1.1796e+14 1.1796e+14
4850.7404 1.1796e+14 1.1796e+14
4850.7529 1.1796e+14 1.1796e+14
4850.7654 1.1796e+14 1.1796e+14
4850.7779 1.1796e+14 1.1796e+14
4850.7904 1.1796e+14 1.1796e+14
4850.8030 1.1796e+14 1.1796e+14
4850.8155 1.1796e+14 1.1796e+14
4850.8280 1.1796e+14 1.1796e+14
4850.8405 1.1796e+14 1.1796e+14
4850.8530 1.1796e+14 1.1796e+14
4850.8656 1.1796e+14 1.1796e+14
4850.8781 1.1796e+14 1.1796e+14
4850.8906 1.1796e+14 1.1796e+14
4850.9031 1.1796e+14 1.1796e+14
4850.9156 1.1796e+14 1.1796e+14
4850.9281 1.1796e+14 1.1796e+14
4850.9407 1.1796e+14 1.1796e+14
4850.9532 1.1796e+14 1.1796e+14
4850.9657 1.1796e+14 1.1796e+14
4850.9782 1.1796e+14 1.1796e+14
4850.9907 1.1796e+14 1.1796e+14
4851.0033 1.1796e+14 1.1796e+14
4851.0158 1.1796e+14 1.1796e+14
4851.0283 1.1796e+14 1.1796e+14
4851.0408 1.1796e+14 1.1796e+14
4851.0533 1.1796e+14 1.1796e+14
4851.0659 1.1796e+14 1.1796e+14
4851.0784 1.1796e+14 1.1796e+14
4851.0909 1.1796e+14 1.1796e+14
4851.1034 1.1796e+14 1.1796e+14
4851.1159 1.1797e+14 1.1796e+14
4851.1284 1.1797e+14 1.1796e+14
4851.1410 1.1797e+14 1.1797e+14
4851.1535 1.1797e+14 1.1797e+14
4851.1660 1.1797e+14 1.1797e+14
4851.1785 1.1797e+14 1.1797e+14
4851.1910 1.1797e+14 1.1797e+14
4851.2036 1.1797e+14 1.1797e+14
4851.2161 1.1797e+14 1.1797e+14
4851.2286 1.1797e+14 1.1797e+14
4851.2411 1.1797e+14 1.1797e+14
4851.2536 1.1797e+14 1.1797e+14
4851.2662 1.1797e+14 1.1797e+14
4851.2787 1.1797e+14 1.1797e+14
4851.2912 1.1797e+14 1.1797e+14
4851.3037 1.1797e+14 1.1797e+14
4851.3162 1.1797e+14 1.1797e+14
4851.3287 1.1797e+14 1.1797e+14
4851.3413 1.1797e+14 1.1797e+14
4851.3538 1.1797e+14 1.1797e+14
4851.3663 1.1797e+14 1.1797e+14
4851.3788 1.1797e+14 1.1797e+14
4851.3913 1.1797e+14 1.1797e+14
4851.4039 1.1797e+14 1.1797e+14
4851.4164 1.1797e+14 1.1797e+14
4851.4289 1.1797e+14 1.1797e+14
4851.4414 1.1797e+14 1.1797e+14
4851.4539 1.1797e+14 1.1797e+14
4851.4665 1.1797e+14 1.1797e+14
4851.4790 1.1797e+14 1.1797e+14
4851.4915 1.1797e+14 1.1797e+14
4851.5040 1.1797e+14 1.1797e+14
4851.5165 1.1797e+14 1.1797e+14
4851.5290 1.1797e+14 1.1797e+14
4851.5416 1.1797e+14 1.1797e+14
4851.5541 1.1798e+14 1.1797e+14
4851.5666 1.1798e+14 1.1797e+14
4851.5791 1.1798e+14 1.1798e+14
4851.5916 1.1798e+14 1.1798e+14
4851.6042 1.1798e+14 1.1798e+14
4851.6167 1.1798e+14 1.1798e+14
4851.6292 1.1798e+14 1.1798e+14
4851.6417 1.1798e+14 1.1798e+14
4851.6542 1.1798e+14 1.1798e+14
4851.6668 1.1798e+14 1.1798e+14
4851.6793 1.1798e+14 1.1798e+14
4851.6918 1.1798e+14 1.1798e+14
4851.7043 1.1798e+14 1.1798e+14
4851.7168 1.1798e+14 1.1798e+14
4851.7294 1.1798e+14 1.1798e+14
4851.7419 1.1798e+14 1.1798e+14
4851.7544 1.1798e+14 1.1798e+14
4851.7669 1.1798e+14 1.1798e+14
4851.7794 1.1798e+14 1.1798e+14
4851.7919 1.1798e+14 1.1798e+14
4851.8045 1.1798e+14 1.1798e+14
4851.8170 1.1798e+14 1.1798e+14
4851.8295 1.1798e+14 1.1798e+14
4851.8420 1.1798e+14 1.1798e+14
4851.8545 1.1798e+14 1.1798e+14
4851.8671 1.1798e+14 1.1798e+14
4851.8796 1.1798e+14 1.1798e+14
4851.8921 1.1798e+14 1.1798e+14
4851.9046 1.1798e+14 1.1798e+14
4851.9171 1.1798e+14 1.1798e+14
4851.9297 1.1798e+14 1.1798e+14
4851.9422 1.1798e+14 1.1798e+14
4851.9547 1.1798e+14 1.1798e+14
4851.9672 1.1798e+14 1.1798e+14
4851.9797 1.1798e+14 1.1798e+14
4851.9922 1.1799e+14 1.1798e+14
4852.0048 1.1799e+14 1.1798e+14
4852.0173 1.1799e+14 1.1799e+14
4852.0298 1.1799e+14 1.1799e+14
4852.0423 1.1799e+14 1.1799e+14
4852.0548 1.1799e+14 1.1799e+14
4852.0674 1.1799e+14 1.1799e+14
4852.0799 1.1799e+14 1.1799e+14
4852.0924 1.1799e+14 1.1799e+14
4852.1049 1.1799e+14 1.1799e+14
4852.1174 1.1799e+14 1.1799e+14
4852.1300 1.1799e+14 1.1799e+14
4852.1425 1.1799e+14 1.1799e+14
4852.1550 1.1799e+14 1.1799e+14
4852.1675 1.1799e+14 1.1799e+14
4852.1800 1.1799e+14 1.1799e+14
4852.1925 1.1799e+14 1.1799e+14
4852.2051 1.1799e+14 1.1799e+14
4852.2176 1.1799e+14 1.1799e+14
4852.2301 1.1799e+14 1.1799e+14
4852.2426 1.1799e+14 1.1799e+14
