# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4092.6530 9.1781e+13 9.1781e+13
4092.6636 9.1781e+13 9.1781e+13
4092.6742 9.1782e+13 9.1782e+13
4092.6847 9.1782e+13 9.1782e+13
4092.6953 9.1783e+13 9.1783e+13
4092.7059 9.1783e+13 9.1783e+13
4092.7164 9.1784e+13 9.1784e+13
4092.7270 9.1784e+13 9.1784e+13
4092.7375 9.1785e+13 9.1785e+13
4092.7481 9.1785e+13 9.1785e+13
4092.7587 9.1786e+13 9.1786e+13
4092.7692 9.1786e+13 9.1786e+13
4092.7798 9.1787e+13 9.1787e+13
4092.7904 9.1787e+13 9.1787e+13
4092.8009 9.1788e+13 9.1788e+13
4092.8115 9.1788e+13 9.1788e+13
4092.8220 9.1789e+13 9.1789e+13
4092.8326 9.1789e+13 9.1789e+13
4092.8432 9.1790e+13 9.1790e+13
4092.8537 9.1790e+13 9.1790e+13
4092.8643 9.1791e+13 9.1790e+13
4092.8749 9.1791e+13 9.1791e+13
4092.8854 9.1792e+13 9.1791e+13
4092.8960 9.1792e+13 9.1792e+13
4092.9065 9.1793e+13 9.1792e+13
4092.9171 9.1793e+13 9.1793e+13
4092.9277 9.1793e+13 9.1793e+13
4092.9382 9.1794e+13 9.1794e+13
4092.9488 9.1794e+13 9.1794e+13
4092.9594 9.1795e+13 9.1795e+13
4092.9699 9.1795e+13 9.1795e+13
4092.9805 9.1796e+13 9.1796e+13
4092.9910 9.1796e+13 9.1796e+13
4093.0016 9.1797e+13 9.1797e+13
4093.0122 9.1797e+13 9.1797e+13
4093.0227 9.1798e+13 9.1798e+13
4093.0333 9.1798e+13 9.1798e+13
4093.0439 9.1799e+13 9.1799e+13
4093.0544 9.1799e+13 9.1799e+13
4093.0650 9.1800e+13 9.1800e+13
4093.0755 9.1800e+13 9.1800e+13
4093.0861 9.1801e+13 9.1801e+13
4093.0967 9.1801e+13 9.1801e+13
4093.1072 9.1802e+13 9.1802e+13
4093.1178 9.1802e+13 9.1802e+13
4093.1284 9.1803e+13 9.1803e+13
4093.1389 9.1803e+13 9.1803e+13
4093.1495 9.1804e+13 9.1804e+13
4093.1600 9.1804e+13 9.1804e+13
4093.1706 9.1805e+13 9.1804e+13
4093.1812 9.1805e+13 9.1805e+13
4093.1917 9.1806e+13 9.1805e+13
4093.2023 9.1806e+13 9.1806e+13
4093.2129 9.1806e+13 9.1806e+13
4093.2234 9.1807e+13 9.1807e+13
4093.2340 9.1807e+13 9.1807e+13
4093.2445 9.1808e+13 9.1808e+13
4093.2551 9.1808e+13 9.1808e+13
4093.2657 9.1809e+13 9.1809e+13
4093.2762 9.1809e+13 9.1809e+13
4093.2868 9.1810e+13 9.1810e+13
4093.2974 9.1810e+13 9.1810e+13
4093.3079 9.1811e+13 9.1811e+13
4093.3185 9.1811e+13 9.1811e+13
4093.3291 9.1812e+13 9.1812e+13
4093.3396 9.1812e+13 9.1812e+13
4093.3502 9.1813e+13 9.1813e+13
4093.3607 9.1813e+13 9.1813e+13
4093.3713 9.1814e+13 9.1814e+13
4093.3819 9.1814e+13 9.1814e+13
4093.3924 9.1815e+13 9.1815e+13
4093.4030 9.1815e+13 9.1815e+13
4093.4136 9.1816e+13 9.1816e+13
4093.4241 9.1816e+13 9.1816e+13
4093.4347 9.1817e+13 9.1817e+13
4093.4452 9.1817e+13 9.1817e+13
4093.4558 9.1818e+13 9.1818e+13
4093.4664 9.1818e+13 9.1818e+13
4093.4769 9.1819e+13 9.1818e+13
4093.4875 9.1819e+13 9.1819e+13
4093.4981 9.1820e+13 9.1819e+13
4093.5086 9.1820e+13 9.1820e+13
4093.5192 9.1820e+13 9.1820e+13
4093.5297 9.1821e+13 9.1821e+13
4093.5403 9.1821e+13 9.1821e+13
4093.5509 9.1822e+13 9.1822e+13
4093.5614 9.1822e+13 9.1822e+13
4093.5720 9.1823e+13 9.1823e+13
4093.5826 9.1823e+13 9.1823e+13
4093.5931 9.1824e+13 9.1824e+13
4093.6037 9.1824e+13 9.1824e+13
4093.6142 9.1825e+13 9.1825e+13
4093.6248 9.1825e+13 9.1825e+13
4093.6354 9.1826e+13 9.1826e+13
4093.6459 9.1826e+13 9.1826e+13
4093.6565 9.1827e+13 9.1827e+13
4093.6671 9.1827e+13 9.1827e+13
4093.6776 9.1828e+13 9.1828e+13
4093.6882 9.1828e+13 9.1828e+13
4093.6987 9.1829e+13 9.1829e+13
4093.7093 9.1829e+13 9.1829e+13
4093.7199 9.1830e+13 9.1830e+13
4093.7304 9.1830e+13 9.1830e+13
4093.7410 9.1831e+13 9.1831e+13
4093.7516 9.1831e+13 9.1831e+13
4093.7621 9.1832e+13 9.1832e+13
4093.7727 9.1832e+13 9.1832e+13
4093.7832 9.1833e+13 9.1832e+13
4093.7938 9.1833e+13 9.1833e+13
4093.8044 9.1834e+13 9.1833e+13
4093.8149 9.1834e+13 9.1834e+13
4093.8255 9.1834e+13 9.1834e+13
4093.8361 9.1835e+13 9.1835e+13
4093.8466 9.1835e+13 9.1835e+13
4093.8572 9.1836e+13 9.1836e+13
4093.8677 9.1836e+13 9.1836e+13
4093.8783 9.1837e+13 9.1837e+13
4093.8889 9.1837e+13 9.1837e+13
4093.8994 9.1838e+13 9.1838e+13
4093.9100 9.1838e+13 9.1838e+13
4093.9206 9.1839e+13 9.1839e+13
4093.9311 9.1839e+13 9.1839e+13
4093.9417 9.1840e+13 9.1840e+13
4093.9523 9.1840e+13 9.1840e+13
4093.9628 9.1841e+13 9.1841e+13
4093.9734 9.1841e+13 9.1841e+13
4093.9839 9.1842e+13 9.1842e+13
4093.9945 9.1842e+13 9.1842e+13
4094.0051 9.1843e+13 9.1843e+13
4094.0156 9.1843e+13 9.1843e+13
4094.0262 9.1844e+13 9.1844e+13
4094.0368 9.1844e+13 9.1844e+13
4094.0473 9.1845e+13 9.1845e+13
4094.0579 9.1845e+13 9.1845e+13
4094.0684 9.1846e+13 9.1845e+13
4094.0790 9.1846e+13 9.1846e+13
4094.0896 9.1847e+13 9.1846e+13
4094.1001 9.1847e+13 9.1847e+13
4094.1107 9.1847e+13 9.1847e+13
4094.1213 9.1848e+13 9.1848e+13
4094.1318 9.1848e+13 9.1848e+13
4094.1424 9.1849e+13 9.1849e+13
4094.1529 9.1849e+13 9.1849e+13
4094.1635 9.1850e+13 9.1850e+13
4094.1741 9.1850e+13 9.1850e+13
4094.1846 9.1851e+13 9.1851e+13
4094.1952 9.1851e+13 9.1851e+13
4094.2058 9.1852e+13 9.1852e+13
4094.2163 9.1852e+13 9.1852e+13
4094.2269 9.1853e+13 9.1853e+13
4094.2374 9.1853e+13 9.1853e+13
4094.2480 9.1854e+13 9.1854e+13
4094.2586 9.1854e+13 9.1854e+13
4094.2691 9.1855e+13 9.1855e+13
4094.2797 9.1855e+13 9.1855e+13
4094.2903 9.1856e+13 9.1856e+13
4094.3008 9.1856e+13 9.1856e+13
4094.3114 9.1857e+13 9.1857e+13
4094.3219 9.1857e+13 9.1857e+13
4094.3325 9.1858e+13 9.1858e+13
4094.3431 9.1858e+13 9.1858e+13
4094.3536 9.1859e+13 9.1859e+13
4094.3642 9.1859e+13 9.1859e+13
4094.3748 9.1860e+13 9.1859e+13
4094.3853 9.1860e+13 9.1860e+13
4094.3959 9.1861e+13 9.1860e+13
4094.4064 9.1861e+13 9.1861e+13
4094.4170 9.1861e+13 9.1861e+13
4094.4276 9.1862e+13 9.1862e+13
4094.4381 9.1862e+13 9.1862e+13
4094.4487 9.1863e+13 9.1863e+13
4094.4593 9.1863e+13 9.1863e+13
4094.4698 9.1864e+13 9.1864e+13
4094.4804 9.1864e+13 9.1864e+13
4094.4909 9.1865e+13 9.1865e+13
4094.5015 9.1865e+13 9.1865e+13
4094.5121 9.1866e+13 9.1866e+13
4094.5226 9.1866e+13 9.1866e+13
4094.5332 9.1867e+13 9.1867e+13
4094.5438 9.1867e+13 9.1867e+13
4094.5543 9.1868e+13 9.1868e+13
4094.5649 9.1868e+13 9.1868e+13
4094.5755 9.1869e+13 9.1869e+13
4094.5860 9.1869e+13 9.1869e+13
4094.5966 9.1870e+13 9.1870e+13
4094.6071 9.1870e+13 9.1870e+13
4094.6177 9.1871e+13 9.1871e+13
4094.6283 9.1871e+13 9.1871e+13
4094.6388 9.1872e+13 9.1872e+13
4094.6494 9.1872e+13 9.1872e+13
4094.6600 9.1873e+13 9.1872e+13
4094.6705 9.1873e+13 9.1873e+13
4094.6811 9.1874e+13 9.1873e+13
4094.6916 9.1874e+13 9.1874e+13
4094.7022 9.1874e+13 9.1874e+13
4094.7128 9.1875e+13 9.1875e+13
4094.7233 9.1875e+13 9.1875e+13
4094.7339 9.1876e+13 9.1876e+13
4094.7445 9.1876e+13 9.1876e+13
4094.7550 9.1877e+13 9.1877e+13
4094.7656 9.1877e+13 9.1877e+13
4094.7761 9.1878e+13 9.1878e+13
4094.7867 9.1878e+13 9.1878e+13
4094.7973 9.1879e+13 9.1879e+13
4094.8078 9.1879e+13 9.1879e+13
4094.8184 9.1880e+13 9.1880e+13
4094.8290 9.1880e+13 9.1880e+13
4094.8395 9.1881e+13 9.1881e+13
4094.8501 9.1881e+13 9.1881e+13
4094.8606 9.1882e+13 9.1882e+13
4094.8712 9.1882e+13 9.1882e+13
4094.8818 9.1883e+13 9.1883e+13
4094.8923 9.1883e+13 9.1883e+13
4094.9029 9.1884e+13 9.1884e+13
4094.9135 9.1884e+13 9.1884e+13
4094.9240 9.1885e+13 9.1885e+13
4094.9346 9.1885e+13 9.1885e+13
4094.9451 9.1886e+13 9.1885e+13
4094.9557 9.1886e+13 9.1886e+13
4094.9663 9.1887e+13 9.1886e+13
4094.9768 9.1887e+13 9.1887e+13
4094.9874 9.1887e+13 9.1887e+13
4094.9980 9.1888e+13 9.1888e+13
4095.0085 9.1888e+13 9.1888e+13
4095.0191 9.1889e+13 9.1889e+13
4095.0296 9.1889e+13 9.1889e+13
4095.0402 9.1890e+13 9.1890e+13
4095.0508 9.1890e+13 9.1890e+13
4095.0613 9.1891e+13 9.1891e+13
