# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3876.3383 1.3276e+15 6.0849e+14
3876.3510 1.3276e+15 6.0823e+14
3876.3636 1.3276e+15 6.0797e+14
3876.3763 1.3276e+15 6.0771e+14
3876.3890 1.3276e+15 6.0745e+14
3876.4016 1.3276e+15 6.0719e+14
3876.4143 1.3276e+15 6.0693e+14
3876.4270 1.3276e+15 6.0668e+14
3876.4396 1.3276e+15 6.0642e+14
3876.4523 1.3276e+15 6.0616e+14
3876.4650 1.3276e+15 6.0590e+14
3876.4776 1.3276e+15 6.0564e+14
3876.4903 1.3276e+15 6.0539e+14
3876.5030 1.3276e+15 6.0513e+14
3876.5156 1.3276e+15 6.0487e+14
3876.5283 1.3276e+15 6.0461e+14
3876.5410 1.3276e+15 6.0435e+14
3876.5536 1.3276e+15 6.0410e+14
3876.5663 1.3276e+15 6.0384e+14
3876.5790 1.3276e+15 6.0358e+14
3876.5917 1.3276e+15 6.0332e+14
3876.6043 1.3276e+15 6.0307e+14
3876.6170 1.3276e+15 6.0281e+14
3876.6297 1.3276e+15 6.0255e+14
3876.6423 1.3276e+15 6.0230e+14
3876.6550 1.3276e+15 6.0204e+14
3876.6677 1.3276e+15 6.0178e+14
3876.6803 1.3276e+15 6.0153e+14
3876.6930 1.3276e+15 6.0127e+14
3876.7057 1.3276e+15 6.0101e+14
3876.7183 1.3276e+15 6.0076e+14
3876.7310 1.3276e+15 6.0050e+14
3876.7437 1.3276e+15 6.0024e+14
3876.7563 1.3276e+15 5.9999e+14
3876.7690 1.3276e+15 5.9973e+14
3876.7817 1.3276e+15 5.9948e+14
3876.7943 1.3276e+15 5.9922e+14
3876.8070 1.3276e+15 5.9897e+14
3876.8197 1.3276e+15 5.9871e+14
3876.8323 1.3276e+15 5.9845e+14
3876.8450 1.3276e+15 5.9820e+14
3876.8577 1.3276e+15 5.9794e+14
3876.8704 1.3276e+15 5.9769e+14
3876.8830 1.3276e+15 5.9743e+14
3876.8957 1.3276e+15 5.9718e+14
3876.9084 1.3276e+15 5.9692e+14
3876.9210 1.3276e+15 5.9667e+14
3876.9337 1.3276e+15 5.9642e+14
3876.9464 1.3276e+15 5.9616e+14
3876.9590 1.3276e+15 5.9591e+14
3876.9717 1.3276e+15 5.9565e+14
3876.9844 1.3276e+15 5.9540e+14
3876.9970 1.3276e+15 5.9514e+14
3877.0097 1.3276e+15 5.9489e+14
3877.0224 1.3276e+15 5.9464e+14
3877.0350 1.3276e+15 5.9438e+14
3877.0477 1.3276e+15 5.9413e+14
3877.0604 1.3276e+15 5.9388e+14
3877.0730 1.3276e+15 5.9362e+14
3877.0857 1.3275e+15 5.9337e+14
3877.0984 1.3275e+15 5.9312e+14
3877.1110 1.3275e+15 5.9286e+14
3877.1237 1.3275e+15 5.9261e+14
3877.1364 1.3275e+15 5.9236e+14
3877.1490 1.3275e+15 5.9210e+14
3877.1617 1.3275e+15 5.9185e+14
3877.1744 1.3275e+15 5.9160e+14
3877.1871 1.3275e+15 5.9135e+14
3877.1997 1.3275e+15 5.9109e+14
3877.2124 1.3275e+15 5.9084e+14
3877.2251 1.3275e+15 5.9059e+14
3877.2377 1.3275e+15 5.9034e+14
3877.2504 1.3275e+15 5.9009e+14
3877.2631 1.3275e+15 5.8983e+14
3877.2757 1.3275e+15 5.8958e+14
3877.2884 1.3275e+15 5.8933e+14
