# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3877.1561 6.8109e+14 6.6610e+14
3877.1679 6.8110e+14 6.6609e+14
3877.1798 6.8110e+14 6.6608e+14
3877.1916 6.8110e+14 6.6608e+14
3877.2035 6.8110e+14 6.6607e+14
3877.2153 6.8110e+14 6.6606e+14
3877.2272 6.8110e+14 6.6606e+14
3877.2390 6.8110e+14 6.6605e+14
3877.2509 6.8110e+14 6.6604e+14
3877.2627 6.8110e+14 6.6604e+14
3877.2746 6.8110e+14 6.6603e+14
3877.2864 6.8110e+14 6.6602e+14
3877.2983 6.8110e+14 6.6602e+14
3877.3101 6.8110e+14 6.6601e+14
3877.3220 6.8110e+14 6.6600e+14
3877.3338 6.8110e+14 6.6600e+14
3877.3457 6.8111e+14 6.6599e+14
3877.3575 6.8111e+14 6.6598e+14
3877.3694 6.8111e+14 6.6598e+14
3877.3812 6.8111e+14 6.6597e+14
3877.3931 6.8111e+14 6.6596e+14
3877.4049 6.8111e+14 6.6596e+14
3877.4168 6.8111e+14 6.6595e+14
3877.4286 6.8111e+14 6.6594e+14
3877.4405 6.8111e+14 6.6594e+14
3877.4523 6.8111e+14 6.6593e+14
3877.4642 6.8111e+14 6.6592e+14
3877.4760 6.8111e+14 6.6592e+14
3877.4879 6.8111e+14 6.6591e+14
3877.4997 6.8111e+14 6.6590e+14
3877.5116 6.8112e+14 6.6590e+14
3877.5234 6.8112e+14 6.6589e+14
3877.5353 6.8112e+14 6.6588e+14
3877.5471 6.8112e+14 6.6588e+14
3877.5590 6.8112e+14 6.6587e+14
3877.5708 6.8112e+14 6.6586e+14
3877.5827 6.8112e+14 6.6586e+14
3877.5945 6.8112e+14 6.6585e+14
3877.6064 6.8112e+14 6.6584e+14
3877.6182 6.8112e+14 6.6584e+14
3877.6301 6.8112e+14 6.6583e+14
3877.6419 6.8112e+14 6.6582e+14
3877.6538 6.8112e+14 6.6582e+14
3877.6656 6.8112e+14 6.6581e+14
3877.6775 6.8112e+14 6.6580e+14
3877.6893 6.8113e+14 6.6580e+14
3877.7012 6.8113e+14 6.6579e+14
3877.7130 6.8113e+14 6.6578e+14
3877.7249 6.8113e+14 6.6578e+14
3877.7367 6.8113e+14 6.6577e+14
3877.7486 6.8113e+14 6.6576e+14
3877.7604 6.8113e+14 6.6576e+14
3877.7723 6.8113e+14 6.6575e+14
3877.7841 6.8113e+14 6.6575e+14
3877.7960 6.8113e+14 6.6574e+14
3877.8078 6.8113e+14 6.6573e+14
3877.8197 6.8113e+14 6.6573e+14
3877.8315 6.8113e+14 6.6572e+14
3877.8434 6.8113e+14 6.6571e+14
3877.8552 6.8113e+14 6.6571e+14
3877.8670 6.8114e+14 6.6570e+14
3877.8789 6.8114e+14 6.6569e+14
3877.8907 6.8114e+14 6.6569e+14
3877.9026 6.8114e+14 6.6568e+14
3877.9144 6.8114e+14 6.6567e+14
3877.9263 6.8114e+14 6.6567e+14
3877.9381 6.8114e+14 6.6566e+14
3877.9500 6.8114e+14 6.6565e+14
3877.9618 6.8114e+14 6.6565e+14
3877.9737 6.8114e+14 6.6564e+14
3877.9855 6.8114e+14 6.6563e+14
3877.9974 6.8114e+14 6.6563e+14
3878.0092 6.8114e+14 6.6562e+14
3878.0211 6.8114e+14 6.6561e+14
3878.0329 6.8115e+14 6.6561e+14
3878.0448 6.8115e+14 6.6560e+14
3878.0566 6.8115e+14 6.6559e+14
3878.0685 6.8115e+14 6.6559e+14
3878.0803 6.8115e+14 6.6558e+14
3878.0922 6.8115e+14 6.6557e+14
3878.1040 6.8115e+14 6.6557e+14
3878.1159 6.8115e+14 6.6556e+14
3878.1277 6.8115e+14 6.6555e+14
3878.1396 6.8115e+14 6.6555e+14
3878.1514 6.8115e+14 6.6554e+14
3878.1633 6.8115e+14 6.6553e+14
3878.1751 6.8115e+14 6.6553e+14
3878.1870 6.8115e+14 6.6552e+14
3878.1988 6.8115e+14 6.6551e+14
3878.2107 6.8116e+14 6.6551e+14
3878.2225 6.8116e+14 6.6550e+14
3878.2344 6.8116e+14 6.6549e+14
3878.2462 6.8116e+14 6.6549e+14
3878.2581 6.8116e+14 6.6548e+14
3878.2699 6.8116e+14 6.6547e+14
3878.2818 6.8116e+14 6.6547e+14
3878.2936 6.8116e+14 6.6546e+14
3878.3055 6.8116e+14 6.6545e+14
3878.3173 6.8116e+14 6.6545e+14
3878.3292 6.8116e+14 6.6544e+14
3878.3410 6.8116e+14 6.6543e+14
3878.3529 6.8116e+14 6.6543e+14
3878.3647 6.8116e+14 6.6542e+14
3878.3766 6.8116e+14 6.6542e+14
3878.3884 6.8117e+14 6.6541e+14
3878.4003 6.8117e+14 6.6540e+14
3878.4121 6.8117e+14 6.6540e+14
3878.4240 6.8117e+14 6.6539e+14
3878.4358 6.8117e+14 6.6538e+14
3878.4477 6.8117e+14 6.6538e+14
3878.4595 6.8117e+14 6.6537e+14
3878.4714 6.8117e+14 6.6536e+14
3878.4832 6.8117e+14 6.6536e+14
3878.4951 6.8117e+14 6.6535e+14
3878.5069 6.8117e+14 6.6534e+14
3878.5188 6.8117e+14 6.6534e+14
3878.5306 6.8117e+14 6.6533e+14
3878.5425 6.8117e+14 6.6532e+14
3878.5543 6.8117e+14 6.6532e+14
3878.5662 6.8118e+14 6.6531e+14
3878.5780 6.8118e+14 6.6530e+14
3878.5899 6.8118e+14 6.6530e+14
3878.6017 6.8118e+14 6.6529e+14
3878.6136 6.8118e+14 6.6528e+14
3878.6254 6.8118e+14 6.6528e+14
3878.6373 6.8118e+14 6.6527e+14
3878.6491 6.8118e+14 6.6526e+14
3878.6610 6.8118e+14 6.6526e+14
3878.6728 6.8118e+14 6.6525e+14
3878.6847 6.8118e+14 6.6524e+14
3878.6965 6.8118e+14 6.6524e+14
3878.7084 6.8118e+14 6.6523e+14
3878.7202 6.8118e+14 6.6523e+14
3878.7321 6.8119e+14 6.6522e+14
3878.7439 6.8119e+14 6.6521e+14
3878.7558 6.8119e+14 6.6521e+14
3878.7676 6.8119e+14 6.6520e+14
3878.7795 6.8119e+14 6.6519e+14
3878.7913 6.8119e+14 6.6519e+14
3878.8032 6.8119e+14 6.6518e+14
3878.8150 6.8119e+14 6.6517e+14
3878.8269 6.8119e+14 6.6517e+14
3878.8387 6.8119e+14 6.6516e+14
3878.8506 6.8119e+14 6.6515e+14
3878.8624 6.8119e+14 6.6515e+14
3878.8743 6.8119e+14 6.6514e+14
3878.8861 6.8119e+14 6.6513e+14
3878.8980 6.8119e+14 6.6513e+14
3878.9098 6.8120e+14 6.6512e+14
3878.9217 6.8120e+14 6.6511e+14
3878.9335 6.8120e+14 6.6511e+14
3878.9454 6.8120e+14 6.6510e+14
3878.9572 6.8120e+14 6.6510e+14
3878.9691 6.8120e+14 6.6509e+14
3878.9809 6.8120e+14 6.6508e+14
3878.9928 6.8120e+14 6.6508e+14
3879.0046 6.8120e+14 6.6507e+14
3879.0165 6.8120e+14 6.6506e+14
3879.0283 6.8120e+14 6.6506e+14
3879.0402 6.8120e+14 6.6505e+14
3879.0520 6.8120e+14 6.6504e+14
3879.0639 6.8120e+14 6.6504e+14
