# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3958.9060 2.8740e+14 2.8731e+14
3958.9172 2.8740e+14 2.8731e+14
3958.9284 2.8740e+14 2.8732e+14
3958.9396 2.8741e+14 2.8732e+14
3958.9508 2.8741e+14 2.8732e+14
3958.9620 2.8741e+14 2.8732e+14
3958.9732 2.8741e+14 2.8732e+14
3958.9844 2.8741e+14 2.8732e+14
3958.9956 2.8741e+14 2.8732e+14
3959.0068 2.8741e+14 2.8732e+14
3959.0180 2.8741e+14 2.8732e+14
3959.0292 2.8741e+14 2.8732e+14
3959.0404 2.8741e+14 2.8732e+14
3959.0516 2.8741e+14 2.8732e+14
3959.0628 2.8741e+14 2.8733e+14
3959.0740 2.8742e+14 2.8733e+14
3959.0852 2.8742e+14 2.8733e+14
3959.0964 2.8742e+14 2.8733e+14
3959.1076 2.8742e+14 2.8733e+14
3959.1188 2.8742e+14 2.8733e+14
3959.1300 2.8742e+14 2.8733e+14
3959.1412 2.8742e+14 2.8733e+14
3959.1524 2.8742e+14 2.8733e+14
3959.1636 2.8742e+14 2.8733e+14
3959.1748 2.8742e+14 2.8733e+14
3959.1860 2.8742e+14 2.8733e+14
3959.1972 2.8743e+14 2.8734e+14
3959.2084 2.8743e+14 2.8734e+14
3959.2196 2.8743e+14 2.8734e+14
3959.2308 2.8743e+14 2.8734e+14
3959.2420 2.8743e+14 2.8734e+14
3959.2532 2.8743e+14 2.8734e+14
3959.2644 2.8743e+14 2.8734e+14
3959.2756 2.8743e+14 2.8734e+14
3959.2868 2.8743e+14 2.8734e+14
3959.2980 2.8743e+14 2.8734e+14
3959.3092 2.8743e+14 2.8734e+14
3959.3204 2.8743e+14 2.8734e+14
3959.3316 2.8744e+14 2.8735e+14
3959.3428 2.8744e+14 2.8735e+14
3959.3540 2.8744e+14 2.8735e+14
3959.3652 2.8744e+14 2.8735e+14
3959.3764 2.8744e+14 2.8735e+14
3959.3876 2.8744e+14 2.8735e+14
3959.3988 2.8744e+14 2.8735e+14
3959.4100 2.8744e+14 2.8735e+14
3959.4212 2.8744e+14 2.8735e+14
3959.4324 2.8744e+14 2.8735e+14
3959.4436 2.8744e+14 2.8735e+14
3959.4548 2.8745e+14 2.8735e+14
3959.4660 2.8745e+14 2.8736e+14
3959.4772 2.8745e+14 2.8736e+14
3959.4884 2.8745e+14 2.8736e+14
3959.4996 2.8745e+14 2.8736e+14
3959.5108 2.8745e+14 2.8736e+14
3959.5220 2.8745e+14 2.8736e+14
3959.5332 2.8745e+14 2.8736e+14
3959.5444 2.8745e+14 2.8736e+14
3959.5556 2.8745e+14 2.8736e+14
3959.5668 2.8745e+14 2.8736e+14
3959.5779 2.8745e+14 2.8736e+14
3959.5891 2.8746e+14 2.8736e+14
3959.6003 2.8746e+14 2.8737e+14
3959.6115 2.8746e+14 2.8737e+14
3959.6227 2.8746e+14 2.8737e+14
3959.6339 2.8746e+14 2.8737e+14
3959.6451 2.8746e+14 2.8737e+14
3959.6563 2.8746e+14 2.8737e+14
3959.6675 2.8746e+14 2.8737e+14
3959.6787 2.8746e+14 2.8737e+14
3959.6899 2.8746e+14 2.8737e+14
3959.7011 2.8746e+14 2.8737e+14
3959.7123 2.8747e+14 2.8737e+14
3959.7235 2.8747e+14 2.8737e+14
3959.7347 2.8747e+14 2.8738e+14
3959.7459 2.8747e+14 2.8738e+14
3959.7571 2.8747e+14 2.8738e+14
3959.7683 2.8747e+14 2.8738e+14
3959.7795 2.8747e+14 2.8738e+14
3959.7907 2.8747e+14 2.8738e+14
3959.8019 2.8747e+14 2.8738e+14
3959.8131 2.8747e+14 2.8738e+14
3959.8243 2.8747e+14 2.8738e+14
3959.8355 2.8747e+14 2.8738e+14
3959.8467 2.8748e+14 2.8738e+14
3959.8579 2.8748e+14 2.8738e+14
3959.8691 2.8748e+14 2.8739e+14
3959.8803 2.8748e+14 2.8739e+14
3959.8915 2.8748e+14 2.8739e+14
3959.9027 2.8748e+14 2.8739e+14
3959.9139 2.8748e+14 2.8739e+14
