# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4328.2616 3.0901e+14 3.0867e+14
4328.2738 3.0901e+14 3.0867e+14
4328.2861 3.0901e+14 3.0867e+14
4328.2983 3.0901e+14 3.0867e+14
4328.3106 3.0901e+14 3.0867e+14
4328.3228 3.0901e+14 3.0867e+14
4328.3351 3.0901e+14 3.0867e+14
4328.3473 3.0901e+14 3.0867e+14
4328.3596 3.0901e+14 3.0867e+14
4328.3718 3.0901e+14 3.0867e+14
4328.3840 3.0901e+14 3.0867e+14
4328.3963 3.0901e+14 3.0867e+14
4328.4085 3.0902e+14 3.0867e+14
4328.4208 3.0902e+14 3.0867e+14
4328.4330 3.0902e+14 3.0867e+14
4328.4453 3.0902e+14 3.0867e+14
4328.4575 3.0902e+14 3.0867e+14
4328.4698 3.0902e+14 3.0868e+14
4328.4820 3.0902e+14 3.0868e+14
4328.4942 3.0902e+14 3.0868e+14
4328.5065 3.0902e+14 3.0868e+14
4328.5187 3.0902e+14 3.0868e+14
4328.5310 3.0902e+14 3.0868e+14
4328.5432 3.0902e+14 3.0868e+14
4328.5555 3.0902e+14 3.0868e+14
4328.5677 3.0902e+14 3.0868e+14
4328.5800 3.0902e+14 3.0868e+14
4328.5922 3.0902e+14 3.0868e+14
4328.6044 3.0902e+14 3.0868e+14
4328.6167 3.0902e+14 3.0868e+14
4328.6289 3.0902e+14 3.0868e+14
4328.6412 3.0902e+14 3.0868e+14
4328.6534 3.0903e+14 3.0868e+14
4328.6657 3.0903e+14 3.0868e+14
4328.6779 3.0903e+14 3.0868e+14
4328.6902 3.0903e+14 3.0868e+14
4328.7024 3.0903e+14 3.0868e+14
4328.7146 3.0903e+14 3.0868e+14
4328.7269 3.0903e+14 3.0868e+14
4328.7391 3.0903e+14 3.0868e+14
4328.7514 3.0903e+14 3.0868e+14
4328.7636 3.0903e+14 3.0868e+14
4328.7759 3.0903e+14 3.0868e+14
4328.7881 3.0903e+14 3.0868e+14
