# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4089.2083 6.8811e+14 6.4733e+14
4089.2208 6.8811e+14 6.4731e+14
4089.2333 6.8811e+14 6.4728e+14
4089.2458 6.8811e+14 6.4726e+14
4089.2583 6.8811e+14 6.4723e+14
4089.2708 6.8811e+14 6.4721e+14
4089.2833 6.8811e+14 6.4719e+14
4089.2958 6.8811e+14 6.4716e+14
4089.3083 6.8811e+14 6.4714e+14
4089.3208 6.8811e+14 6.4711e+14
4089.3333 6.8811e+14 6.4709e+14
4089.3458 6.8811e+14 6.4706e+14
4089.3583 6.8811e+14 6.4704e+14
4089.3708 6.8811e+14 6.4701e+14
4089.3833 6.8811e+14 6.4699e+14
4089.3957 6.8811e+14 6.4697e+14
4089.4082 6.8811e+14 6.4694e+14
4089.4207 6.8811e+14 6.4692e+14
4089.4332 6.8811e+14 6.4689e+14
4089.4457 6.8811e+14 6.4687e+14
4089.4582 6.8811e+14 6.4684e+14
4089.4707 6.8811e+14 6.4682e+14
4089.4832 6.8811e+14 6.4679e+14
4089.4957 6.8811e+14 6.4677e+14
4089.5082 6.8811e+14 6.4674e+14
4089.5207 6.8811e+14 6.4672e+14
4089.5332 6.8811e+14 6.4670e+14
4089.5457 6.8811e+14 6.4667e+14
4089.5582 6.8811e+14 6.4665e+14
4089.5707 6.8811e+14 6.4662e+14
4089.5832 6.8811e+14 6.4660e+14
4089.5957 6.8811e+14 6.4657e+14
4089.6082 6.8811e+14 6.4655e+14
4089.6207 6.8811e+14 6.4652e+14
4089.6332 6.8811e+14 6.4650e+14
4089.6457 6.8811e+14 6.4647e+14
4089.6582 6.8811e+14 6.4645e+14
4089.6707 6.8811e+14 6.4643e+14
4089.6832 6.8811e+14 6.4640e+14
4089.6957 6.8811e+14 6.4638e+14
4089.7082 6.8811e+14 6.4635e+14
4089.7207 6.8811e+14 6.4633e+14
4089.7332 6.8811e+14 6.4630e+14
4089.7457 6.8811e+14 6.4628e+14
4089.7582 6.8811e+14 6.4625e+14
4089.7707 6.8811e+14 6.4623e+14
4089.7832 6.8811e+14 6.4620e+14
4089.7957 6.8811e+14 6.4618e+14
4089.8082 6.8812e+14 6.4615e+14
4089.8207 6.8812e+14 6.4613e+14
4089.8332 6.8812e+14 6.4610e+14
4089.8457 6.8812e+14 6.4608e+14
4089.8582 6.8812e+14 6.4606e+14
4089.8707 6.8812e+14 6.4603e+14
4089.8832 6.8812e+14 6.4601e+14
4089.8957 6.8812e+14 6.4598e+14
4089.9082 6.8812e+14 6.4596e+14
4089.9207 6.8812e+14 6.4593e+14
4089.9332 6.8812e+14 6.4591e+14
4089.9457 6.8812e+14 6.4588e+14
4089.9582 6.8812e+14 6.4586e+14
4089.9707 6.8812e+14 6.4583e+14
4089.9832 6.8812e+14 6.4581e+14
4089.9957 6.8812e+14 6.4578e+14
4090.0082 6.8812e+14 6.4576e+14
4090.0206 6.8812e+14 6.4573e+14
4090.0331 6.8812e+14 6.4571e+14
4090.0456 6.8812e+14 6.4569e+14
4090.0581 6.8812e+14 6.4566e+14
4090.0706 6.8812e+14 6.4564e+14
4090.0831 6.8812e+14 6.4561e+14
4090.0956 6.8812e+14 6.4559e+14
4090.1081 6.8812e+14 6.4556e+14
4090.1206 6.8812e+14 6.4554e+14
4090.1331 6.8812e+14 6.4551e+14
4090.1456 6.8812e+14 6.4549e+14
4090.1581 6.8812e+14 6.4546e+14
4090.1706 6.8812e+14 6.4544e+14
4090.1831 6.8812e+14 6.4541e+14
4090.1956 6.8812e+14 6.4539e+14
4090.2081 6.8812e+14 6.4536e+14
4090.2206 6.8812e+14 6.4534e+14
4090.2331 6.8812e+14 6.4531e+14
4090.2456 6.8812e+14 6.4529e+14
4090.2581 6.8812e+14 6.4527e+14
4090.2706 6.8812e+14 6.4524e+14
4090.2831 6.8812e+14 6.4522e+14
4090.2956 6.8812e+14 6.4519e+14
4090.3081 6.8812e+14 6.4517e+14
4090.3206 6.8812e+14 6.4514e+14
4090.3331 6.8812e+14 6.4512e+14
4090.3456 6.8812e+14 6.4509e+14
4090.3581 6.8812e+14 6.4507e+14
4090.3706 6.8812e+14 6.4504e+14
4090.3831 6.8812e+14 6.4502e+14
4090.3956 6.8812e+14 6.4499e+14
4090.4081 6.8812e+14 6.4497e+14
4090.4206 6.8812e+14 6.4494e+14
4090.4331 6.8812e+14 6.4492e+14
4090.4456 6.8812e+14 6.4489e+14
4090.4581 6.8812e+14 6.4487e+14
4090.4706 6.8812e+14 6.4484e+14
4090.4831 6.8812e+14 6.4482e+14
4090.4956 6.8812e+14 6.4480e+14
4090.5081 6.8812e+14 6.4477e+14
4090.5206 6.8812e+14 6.4475e+14
4090.5331 6.8812e+14 6.4472e+14
4090.5456 6.8812e+14 6.4470e+14
4090.5581 6.8812e+14 6.4467e+14
4090.5706 6.8812e+14 6.4465e+14
4090.5831 6.8812e+14 6.4462e+14
4090.5956 6.8812e+14 6.4460e+14
4090.6081 6.8812e+14 6.4457e+14
4090.6206 6.8812e+14 6.4455e+14
4090.6330 6.8812e+14 6.4452e+14
4090.6455 6.8812e+14 6.4450e+14
4090.6580 6.8812e+14 6.4447e+14
4090.6705 6.8812e+14 6.4445e+14
4090.6830 6.8812e+14 6.4442e+14
4090.6955 6.8812e+14 6.4440e+14
4090.7080 6.8812e+14 6.4437e+14
4090.7205 6.8812e+14 6.4435e+14
4090.7330 6.8812e+14 6.4432e+14
4090.7455 6.8812e+14 6.4430e+14
4090.7580 6.8812e+14 6.4428e+14
4090.7705 6.8812e+14 6.4425e+14
4090.7830 6.8812e+14 6.4423e+14
4090.7955 6.8812e+14 6.4420e+14
4090.8080 6.8812e+14 6.4418e+14
4090.8205 6.8812e+14 6.4415e+14
4090.8330 6.8813e+14 6.4413e+14
4090.8455 6.8813e+14 6.4410e+14
4090.8580 6.8813e+14 6.4408e+14
4090.8705 6.8813e+14 6.4405e+14
4090.8830 6.8813e+14 6.4403e+14
4090.8955 6.8813e+14 6.4400e+14
4090.9080 6.8813e+14 6.4398e+14
4090.9205 6.8813e+14 6.4395e+14
4090.9330 6.8813e+14 6.4393e+14
4090.9455 6.8813e+14 6.4390e+14
4090.9580 6.8813e+14 6.4388e+14
4090.9705 6.8813e+14 6.4385e+14
4090.9830 6.8813e+14 6.4383e+14
4090.9955 6.8813e+14 6.4380e+14
4091.0080 6.8813e+14 6.4378e+14
4091.0205 6.8813e+14 6.4376e+14
4091.0330 6.8813e+14 6.4373e+14
4091.0455 6.8813e+14 6.4371e+14
4091.0580 6.8813e+14 6.4368e+14
4091.0705 6.8813e+14 6.4366e+14
4091.0830 6.8813e+14 6.4363e+14
4091.0955 6.8813e+14 6.4361e+14
4091.1080 6.8813e+14 6.4358e+14
4091.1205 6.8813e+14 6.4356e+14
4091.1330 6.8813e+14 6.4353e+14
4091.1455 6.8813e+14 6.4351e+14
4091.1580 6.8813e+14 6.4348e+14
4091.1705 6.8813e+14 6.4346e+14
4091.1830 6.8813e+14 6.4343e+14
4091.1955 6.8813e+14 6.4341e+14
4091.2080 6.8813e+14 6.4338e+14
4091.2205 6.8813e+14 6.4336e+14
4091.2330 6.8813e+14 6.4333e+14
4091.2454 6.8813e+14 6.4331e+14
4091.2579 6.8813e+14 6.4329e+14
4091.2704 6.8813e+14 6.4326e+14
4091.2829 6.8813e+14 6.4324e+14
4091.2954 6.8813e+14 6.4321e+14
4091.3079 6.8813e+14 6.4319e+14
4091.3204 6.8813e+14 6.4316e+14
4091.3329 6.8813e+14 6.4314e+14
4091.3454 6.8813e+14 6.4311e+14
4091.3579 6.8813e+14 6.4309e+14
4091.3704 6.8813e+14 6.4306e+14
4091.3829 6.8813e+14 6.4304e+14
4091.3954 6.8813e+14 6.4301e+14
4091.4079 6.8813e+14 6.4299e+14
4091.4204 6.8813e+14 6.4296e+14
4091.4329 6.8813e+14 6.4294e+14
4091.4454 6.8813e+14 6.4291e+14
4091.4579 6.8813e+14 6.4289e+14
