# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4329.1723 6.8510e+14 5.9736e+14
4329.1855 6.8509e+14 5.9730e+14
4329.1987 6.8509e+14 5.9724e+14
4329.2120 6.8509e+14 5.9718e+14
4329.2252 6.8509e+14 5.9712e+14
4329.2384 6.8509e+14 5.9706e+14
4329.2516 6.8509e+14 5.9700e+14
4329.2649 6.8509e+14 5.9693e+14
4329.2781 6.8509e+14 5.9687e+14
4329.2913 6.8509e+14 5.9681e+14
4329.3045 6.8509e+14 5.9675e+14
4329.3178 6.8509e+14 5.9669e+14
4329.3310 6.8509e+14 5.9663e+14
4329.3442 6.8509e+14 5.9657e+14
4329.3574 6.8509e+14 5.9651e+14
4329.3707 6.8509e+14 5.9645e+14
4329.3839 6.8509e+14 5.9638e+14
4329.3971 6.8509e+14 5.9632e+14
4329.4103 6.8509e+14 5.9626e+14
4329.4236 6.8509e+14 5.9620e+14
4329.4368 6.8509e+14 5.9614e+14
4329.4500 6.8509e+14 5.9608e+14
4329.4632 6.8509e+14 5.9602e+14
4329.4765 6.8508e+14 5.9596e+14
4329.4897 6.8508e+14 5.9589e+14
4329.5029 6.8508e+14 5.9583e+14
4329.5161 6.8508e+14 5.9577e+14
4329.5294 6.8508e+14 5.9571e+14
4329.5426 6.8508e+14 5.9565e+14
4329.5558 6.8508e+14 5.9559e+14
4329.5690 6.8508e+14 5.9553e+14
4329.5823 6.8508e+14 5.9547e+14
4329.5955 6.8508e+14 5.9540e+14
4329.6087 6.8508e+14 5.9534e+14
4329.6219 6.8508e+14 5.9528e+14
4329.6352 6.8508e+14 5.9522e+14
4329.6484 6.8508e+14 5.9516e+14
4329.6616 6.8508e+14 5.9510e+14
4329.6748 6.8508e+14 5.9504e+14
4329.6881 6.8508e+14 5.9497e+14
4329.7013 6.8508e+14 5.9491e+14
4329.7145 6.8508e+14 5.9485e+14
4329.7278 6.8508e+14 5.9479e+14
4329.7410 6.8508e+14 5.9473e+14
4329.7542 6.8508e+14 5.9467e+14
4329.7674 6.8508e+14 5.9461e+14
4329.7807 6.8507e+14 5.9454e+14
4329.7939 6.8507e+14 5.9448e+14
4329.8071 6.8507e+14 5.9442e+14
4329.8203 6.8507e+14 5.9436e+14
4329.8336 6.8507e+14 5.9430e+14
4329.8468 6.8507e+14 5.9424e+14
4329.8600 6.8507e+14 5.9418e+14
4329.8732 6.8507e+14 5.9411e+14
4329.8865 6.8507e+14 5.9405e+14
4329.8997 6.8507e+14 5.9399e+14
4329.9129 6.8507e+14 5.9393e+14
4329.9261 6.8507e+14 5.9387e+14
4329.9394 6.8507e+14 5.9381e+14
4329.9526 6.8507e+14 5.9375e+14
4329.9658 6.8507e+14 5.9368e+14
4329.9790 6.8507e+14 5.9362e+14
4329.9923 6.8507e+14 5.9356e+14
4330.0055 6.8507e+14 5.9350e+14
4330.0187 6.8507e+14 5.9344e+14
4330.0319 6.8507e+14 5.9338e+14
4330.0452 6.8507e+14 5.9332e+14
4330.0584 6.8507e+14 5.9325e+14
4330.0716 6.8506e+14 5.9319e+14
4330.0848 6.8506e+14 5.9313e+14
4330.0981 6.8506e+14 5.9307e+14
4330.1113 6.8506e+14 5.9301e+14
4330.1245 6.8506e+14 5.9295e+14
4330.1377 6.8506e+14 5.9288e+14
4330.1510 6.8506e+14 5.9282e+14
4330.1642 6.8506e+14 5.9276e+14
4330.1774 6.8506e+14 5.9270e+14
4330.1906 6.8506e+14 5.9264e+14
