# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3957.1742 1.3178e+15 3.8702e+14
3957.1872 1.3178e+15 3.8674e+14
3957.2001 1.3178e+15 3.8646e+14
3957.2130 1.3178e+15 3.8618e+14
3957.2260 1.3178e+15 3.8589e+14
3957.2389 1.3178e+15 3.8561e+14
3957.2518 1.3178e+15 3.8533e+14
3957.2648 1.3178e+15 3.8505e+14
3957.2777 1.3178e+15 3.8477e+14
3957.2906 1.3178e+15 3.8449e+14
3957.3036 1.3178e+15 3.8421e+14
3957.3165 1.3178e+15 3.8393e+14
3957.3294 1.3178e+15 3.8364e+14
3957.3424 1.3178e+15 3.8336e+14
3957.3553 1.3178e+15 3.8308e+14
3957.3682 1.3178e+15 3.8280e+14
3957.3812 1.3177e+15 3.8252e+14
3957.3941 1.3177e+15 3.8224e+14
3957.4070 1.3177e+15 3.8196e+14
3957.4200 1.3177e+15 3.8168e+14
3957.4329 1.3177e+15 3.8140e+14
3957.4458 1.3177e+15 3.8112e+14
3957.4588 1.3177e+15 3.8085e+14
3957.4717 1.3177e+15 3.8057e+14
3957.4846 1.3177e+15 3.8029e+14
3957.4976 1.3177e+15 3.8001e+14
3957.5105 1.3177e+15 3.7973e+14
3957.5234 1.3177e+15 3.7945e+14
3957.5364 1.3177e+15 3.7917e+14
3957.5493 1.3177e+15 3.7890e+14
3957.5622 1.3177e+15 3.7862e+14
3957.5751 1.3177e+15 3.7834e+14
3957.5881 1.3177e+15 3.7806e+14
3957.6010 1.3177e+15 3.7779e+14
3957.6139 1.3177e+15 3.7751e+14
3957.6269 1.3177e+15 3.7723e+14
3957.6398 1.3177e+15 3.7695e+14
3957.6527 1.3177e+15 3.7668e+14
3957.6657 1.3177e+15 3.7640e+14
3957.6786 1.3177e+15 3.7612e+14
3957.6915 1.3177e+15 3.7585e+14
3957.7045 1.3177e+15 3.7557e+14
3957.7174 1.3177e+15 3.7530e+14
3957.7303 1.3177e+15 3.7502e+14
3957.7433 1.3177e+15 3.7474e+14
3957.7562 1.3177e+15 3.7447e+14
3957.7691 1.3177e+15 3.7419e+14
3957.7821 1.3177e+15 3.7392e+14
3957.7950 1.3177e+15 3.7364e+14
3957.8079 1.3177e+15 3.7337e+14
3957.8209 1.3177e+15 3.7310e+14
3957.8338 1.3177e+15 3.7282e+14
3957.8467 1.3177e+15 3.7255e+14
3957.8597 1.3177e+15 3.7227e+14
3957.8726 1.3177e+15 3.7200e+14
3957.8855 1.3177e+15 3.7172e+14
3957.8985 1.3177e+15 3.7145e+14
3957.9114 1.3177e+15 3.7118e+14
3957.9243 1.3177e+15 3.7091e+14
3957.9373 1.3177e+15 3.7063e+14
3957.9502 1.3177e+15 3.7036e+14
3957.9631 1.3177e+15 3.7009e+14
3957.9760 1.3177e+15 3.6981e+14
3957.9890 1.3177e+15 3.6954e+14
3958.0019 1.3177e+15 3.6927e+14
3958.0148 1.3177e+15 3.6900e+14
3958.0278 1.3177e+15 3.6873e+14
3958.0407 1.3177e+15 3.6845e+14
3958.0536 1.3177e+15 3.6818e+14
3958.0666 1.3177e+15 3.6791e+14
3958.0795 1.3177e+15 3.6764e+14
3958.0924 1.3177e+15 3.6737e+14
3958.1054 1.3177e+15 3.6710e+14
3958.1183 1.3176e+15 3.6683e+14
3958.1312 1.3176e+15 3.6656e+14
3958.1442 1.3176e+15 3.6629e+14
3958.1571 1.3176e+15 3.6602e+14
3958.1700 1.3176e+15 3.6575e+14
3958.1830 1.3176e+15 3.6548e+14
3958.1959 1.3176e+15 3.6521e+14
3958.2088 1.3176e+15 3.6494e+14
3958.2218 1.3176e+15 3.6467e+14
3958.2347 1.3176e+15 3.6440e+14
3958.2476 1.3176e+15 3.6413e+14
3958.2606 1.3176e+15 3.6387e+14
3958.2735 1.3176e+15 3.6360e+14
3958.2864 1.3176e+15 3.6333e+14
3958.2994 1.3176e+15 3.6306e+14
3958.3123 1.3176e+15 3.6279e+14
3958.3252 1.3176e+15 3.6253e+14
3958.3381 1.3176e+15 3.6226e+14
3958.3511 1.3176e+15 3.6199e+14
3958.3640 1.3176e+15 3.6172e+14
3958.3769 1.3176e+15 3.6146e+14
3958.3899 1.3176e+15 3.6119e+14
3958.4028 1.3176e+15 3.6092e+14
3958.4157 1.3176e+15 3.6066e+14
3958.4287 1.3176e+15 3.6039e+14
3958.4416 1.3176e+15 3.6013e+14
3958.4545 1.3176e+15 3.5986e+14
3958.4675 1.3176e+15 3.5959e+14
3958.4804 1.3176e+15 3.5933e+14
3958.4933 1.3176e+15 3.5906e+14
3958.5063 1.3176e+15 3.5880e+14
3958.5192 1.3176e+15 3.5853e+14
3958.5321 1.3176e+15 3.5827e+14
3958.5451 1.3176e+15 3.5801e+14
3958.5580 1.3176e+15 3.5774e+14
3958.5709 1.3176e+15 3.5748e+14
3958.5839 1.3176e+15 3.5721e+14
3958.5968 1.3176e+15 3.5695e+14
3958.6097 1.3176e+15 3.5669e+14
3958.6227 1.3176e+15 3.5642e+14
3958.6356 1.3176e+15 3.5616e+14
3958.6485 1.3176e+15 3.5590e+14
3958.6615 1.3176e+15 3.5564e+14
3958.6744 1.3176e+15 3.5537e+14
3958.6873 1.3176e+15 3.5511e+14
3958.7003 1.3176e+15 3.5485e+14
3958.7132 1.3176e+15 3.5459e+14
3958.7261 1.3176e+15 3.5433e+14
3958.7390 1.3176e+15 3.5406e+14
