# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4846.4949 6.5050e+14 4.8244e+14
4846.5097 6.5049e+14 4.8228e+14
4846.5245 6.5049e+14 4.8212e+14
4846.5394 6.5049e+14 4.8196e+14
4846.5542 6.5049e+14 4.8180e+14
4846.5690 6.5049e+14 4.8164e+14
4846.5838 6.5049e+14 4.8147e+14
4846.5986 6.5049e+14 4.8131e+14
4846.6134 6.5049e+14 4.8115e+14
4846.6282 6.5048e+14 4.8099e+14
4846.6430 6.5048e+14 4.8083e+14
4846.6579 6.5048e+14 4.8066e+14
4846.6727 6.5048e+14 4.8050e+14
4846.6875 6.5048e+14 4.8034e+14
4846.7023 6.5048e+14 4.8017e+14
4846.7171 6.5048e+14 4.8001e+14
4846.7319 6.5047e+14 4.7985e+14
4846.7467 6.5047e+14 4.7968e+14
4846.7615 6.5047e+14 4.7952e+14
4846.7764 6.5047e+14 4.7936e+14
4846.7912 6.5047e+14 4.7919e+14
4846.8060 6.5047e+14 4.7903e+14
4846.8208 6.5047e+14 4.7886e+14
4846.8356 6.5046e+14 4.7870e+14
4846.8504 6.5046e+14 4.7854e+14
4846.8652 6.5046e+14 4.7837e+14
4846.8800 6.5046e+14 4.7821e+14
4846.8949 6.5046e+14 4.7804e+14
4846.9097 6.5046e+14 4.7788e+14
4846.9245 6.5046e+14 4.7771e+14
4846.9393 6.5045e+14 4.7755e+14
4846.9541 6.5045e+14 4.7738e+14
4846.9689 6.5045e+14 4.7721e+14
4846.9837 6.5045e+14 4.7705e+14
4846.9985 6.5045e+14 4.7688e+14
4847.0134 6.5045e+14 4.7672e+14
4847.0282 6.5045e+14 4.7655e+14
4847.0430 6.5044e+14 4.7638e+14
4847.0578 6.5044e+14 4.7622e+14
4847.0726 6.5044e+14 4.7605e+14
4847.0874 6.5044e+14 4.7589e+14
4847.1022 6.5044e+14 4.7572e+14
4847.1170 6.5044e+14 4.7555e+14
4847.1319 6.5044e+14 4.7538e+14
4847.1467 6.5044e+14 4.7522e+14
4847.1615 6.5043e+14 4.7505e+14
4847.1763 6.5043e+14 4.7488e+14
4847.1911 6.5043e+14 4.7471e+14
4847.2059 6.5043e+14 4.7455e+14
4847.2207 6.5043e+14 4.7438e+14
4847.2355 6.5043e+14 4.7421e+14
4847.2504 6.5043e+14 4.7404e+14
4847.2652 6.5042e+14 4.7387e+14
4847.2800 6.5042e+14 4.7371e+14
4847.2948 6.5042e+14 4.7354e+14
4847.3096 6.5042e+14 4.7337e+14
4847.3244 6.5042e+14 4.7320e+14
4847.3392 6.5042e+14 4.7303e+14
4847.3540 6.5042e+14 4.7286e+14
4847.3689 6.5041e+14 4.7269e+14
4847.3837 6.5041e+14 4.7252e+14
4847.3985 6.5041e+14 4.7235e+14
4847.4133 6.5041e+14 4.7218e+14
4847.4281 6.5041e+14 4.7201e+14
4847.4429 6.5041e+14 4.7184e+14
4847.4577 6.5041e+14 4.7167e+14
4847.4725 6.5040e+14 4.7150e+14
4847.4874 6.5040e+14 4.7133e+14
4847.5022 6.5040e+14 4.7116e+14
4847.5170 6.5040e+14 4.7099e+14
4847.5318 6.5040e+14 4.7082e+14
4847.5466 6.5040e+14 4.7065e+14
4847.5614 6.5040e+14 4.7048e+14
4847.5762 6.5039e+14 4.7031e+14
4847.5910 6.5039e+14 4.7014e+14
4847.6059 6.5039e+14 4.6996e+14
4847.6207 6.5039e+14 4.6979e+14
4847.6355 6.5039e+14 4.6962e+14
4847.6503 6.5039e+14 4.6945e+14
4847.6651 6.5039e+14 4.6928e+14
4847.6799 6.5039e+14 4.6910e+14
4847.6947 6.5038e+14 4.6893e+14
4847.7095 6.5038e+14 4.6876e+14
4847.7244 6.5038e+14 4.6859e+14
4847.7392 6.5038e+14 4.6841e+14
4847.7540 6.5038e+14 4.6824e+14
4847.7688 6.5038e+14 4.6807e+14
4847.7836 6.5038e+14 4.6790e+14
4847.7984 6.5037e+14 4.6772e+14
4847.8132 6.5037e+14 4.6755e+14
4847.8280 6.5037e+14 4.6738e+14
4847.8429 6.5037e+14 4.6720e+14
4847.8577 6.5037e+14 4.6703e+14
4847.8725 6.5037e+14 4.6685e+14
4847.8873 6.5037e+14 4.6668e+14
4847.9021 6.5036e+14 4.6651e+14
