# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4326.3683 1.2497e+15 1.8270e+13
4326.3824 1.2497e+15 1.8206e+13
4326.3966 1.2497e+15 1.8141e+13
4326.4107 1.2497e+15 1.8077e+13
4326.4249 1.2497e+15 1.8013e+13
4326.4390 1.2497e+15 1.7949e+13
4326.4531 1.2497e+15 1.7885e+13
4326.4673 1.2497e+15 1.7821e+13
4326.4814 1.2497e+15 1.7758e+13
4326.4956 1.2497e+15 1.7694e+13
4326.5097 1.2497e+15 1.7631e+13
4326.5238 1.2496e+15 1.7568e+13
4326.5380 1.2496e+15 1.7506e+13
4326.5521 1.2496e+15 1.7443e+13
4326.5663 1.2496e+15 1.7381e+13
4326.5804 1.2496e+15 1.7319e+13
4326.5945 1.2496e+15 1.7257e+13
4326.6087 1.2496e+15 1.7195e+13
4326.6228 1.2496e+15 1.7133e+13
4326.6369 1.2496e+15 1.7072e+13
4326.6511 1.2496e+15 1.7011e+13
4326.6652 1.2496e+15 1.6949e+13
4326.6794 1.2496e+15 1.6889e+13
4326.6935 1.2496e+15 1.6828e+13
4326.7076 1.2496e+15 1.6767e+13
4326.7218 1.2496e+15 1.6707e+13
4326.7359 1.2496e+15 1.6647e+13
4326.7501 1.2496e+15 1.6587e+13
4326.7642 1.2496e+15 1.6527e+13
4326.7783 1.2496e+15 1.6467e+13
4326.7925 1.2496e+15 1.6408e+13
4326.8066 1.2496e+15 1.6348e+13
4326.8208 1.2496e+15 1.6289e+13
4326.8349 1.2496e+15 1.6230e+13
4326.8490 1.2496e+15 1.6172e+13
4326.8632 1.2496e+15 1.6113e+13
4326.8773 1.2496e+15 1.6055e+13
4326.8914 1.2496e+15 1.5996e+13
4326.9056 1.2496e+15 1.5938e+13
4326.9197 1.2496e+15 1.5880e+13
4326.9339 1.2496e+15 1.5823e+13
4326.9480 1.2496e+15 1.5765e+13
4326.9621 1.2496e+15 1.5708e+13
4326.9763 1.2495e+15 1.5651e+13
4326.9904 1.2495e+15 1.5594e+13
4327.0046 1.2495e+15 1.5537e+13
4327.0187 1.2495e+15 1.5480e+13
