# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
3879.6035 2.8089e+14 2.8083e+14
3879.6144 2.8089e+14 2.8084e+14
3879.6254 2.8089e+14 2.8084e+14
3879.6364 2.8090e+14 2.8084e+14
3879.6474 2.8090e+14 2.8084e+14
3879.6583 2.8090e+14 2.8084e+14
3879.6693 2.8090e+14 2.8084e+14
3879.6803 2.8090e+14 2.8084e+14
3879.6912 2.8090e+14 2.8084e+14
3879.7022 2.8090e+14 2.8084e+14
3879.7132 2.8090e+14 2.8084e+14
3879.7242 2.8090e+14 2.8084e+14
3879.7351 2.8090e+14 2.8085e+14
3879.7461 2.8090e+14 2.8085e+14
3879.7571 2.8091e+14 2.8085e+14
3879.7680 2.8091e+14 2.8085e+14
3879.7790 2.8091e+14 2.8085e+14
3879.7900 2.8091e+14 2.8085e+14
3879.8009 2.8091e+14 2.8085e+14
3879.8119 2.8091e+14 2.8085e+14
3879.8229 2.8091e+14 2.8085e+14
3879.8339 2.8091e+14 2.8085e+14
3879.8448 2.8091e+14 2.8085e+14
3879.8558 2.8091e+14 2.8086e+14
3879.8668 2.8092e+14 2.8086e+14
3879.8777 2.8092e+14 2.8086e+14
3879.8887 2.8092e+14 2.8086e+14
3879.8997 2.8092e+14 2.8086e+14
3879.9107 2.8092e+14 2.8086e+14
3879.9216 2.8092e+14 2.8086e+14
3879.9326 2.8092e+14 2.8086e+14
3879.9436 2.8092e+14 2.8086e+14
3879.9545 2.8092e+14 2.8086e+14
3879.9655 2.8092e+14 2.8086e+14
3879.9765 2.8092e+14 2.8087e+14
3879.9875 2.8093e+14 2.8087e+14
3879.9984 2.8093e+14 2.8087e+14
3880.0094 2.8093e+14 2.8087e+14
3880.0204 2.8093e+14 2.8087e+14
3880.0313 2.8093e+14 2.8087e+14
3880.0423 2.8093e+14 2.8087e+14
3880.0533 2.8093e+14 2.8087e+14
3880.0642 2.8093e+14 2.8087e+14
3880.0752 2.8093e+14 2.8087e+14
