# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4329.3279 1.0181e+14 1.0181e+14
4329.3391 1.0181e+14 1.0181e+14
4329.3503 1.0181e+14 1.0181e+14
4329.3615 1.0181e+14 1.0181e+14
4329.3726 1.0181e+14 1.0181e+14
4329.3838 1.0181e+14 1.0181e+14
4329.3950 1.0181e+14 1.0181e+14
4329.4062 1.0181e+14 1.0181e+14
4329.4173 1.0181e+14 1.0181e+14
4329.4285 1.0181e+14 1.0181e+14
4329.4397 1.0181e+14 1.0181e+14
4329.4509 1.0181e+14 1.0181e+14
4329.4621 1.0181e+14 1.0181e+14
4329.4732 1.0181e+14 1.0181e+14
4329.4844 1.0181e+14 1.0181e+14
4329.4956 1.0182e+14 1.0182e+14
4329.5068 1.0182e+14 1.0182e+14
4329.5179 1.0182e+14 1.0182e+14
4329.5291 1.0182e+14 1.0182e+14
4329.5403 1.0182e+14 1.0182e+14
4329.5515 1.0182e+14 1.0182e+14
4329.5627 1.0182e+14 1.0182e+14
4329.5738 1.0182e+14 1.0182e+14
4329.5850 1.0182e+14 1.0182e+14
4329.5962 1.0182e+14 1.0182e+14
4329.6074 1.0182e+14 1.0182e+14
4329.6185 1.0182e+14 1.0182e+14
4329.6297 1.0182e+14 1.0182e+14
4329.6409 1.0182e+14 1.0182e+14
4329.6521 1.0182e+14 1.0182e+14
4329.6632 1.0182e+14 1.0182e+14
4329.6744 1.0182e+14 1.0182e+14
4329.6856 1.0182e+14 1.0182e+14
4329.6968 1.0182e+14 1.0182e+14
4329.7080 1.0182e+14 1.0182e+14
4329.7191 1.0182e+14 1.0182e+14
4329.7303 1.0182e+14 1.0182e+14
4329.7415 1.0182e+14 1.0182e+14
4329.7527 1.0183e+14 1.0183e+14
4329.7638 1.0183e+14 1.0183e+14
4329.7750 1.0183e+14 1.0183e+14
4329.7862 1.0183e+14 1.0183e+14
4329.7974 1.0183e+14 1.0183e+14
4329.8086 1.0183e+14 1.0183e+14
4329.8197 1.0183e+14 1.0183e+14
4329.8309 1.0183e+14 1.0183e+14
4329.8421 1.0183e+14 1.0183e+14
4329.8533 1.0183e+14 1.0183e+14
4329.8644 1.0183e+14 1.0183e+14
4329.8756 1.0183e+14 1.0183e+14
4329.8868 1.0183e+14 1.0183e+14
4329.8980 1.0183e+14 1.0183e+14
4329.9092 1.0183e+14 1.0183e+14
4329.9203 1.0183e+14 1.0183e+14
4329.9315 1.0183e+14 1.0183e+14
4329.9427 1.0183e+14 1.0183e+14
4329.9539 1.0183e+14 1.0183e+14
4329.9650 1.0183e+14 1.0183e+14
4329.9762 1.0183e+14 1.0183e+14
4329.9874 1.0183e+14 1.0183e+14
4329.9986 1.0183e+14 1.0183e+14
4330.0098 1.0184e+14 1.0184e+14
4330.0209 1.0184e+14 1.0184e+14
4330.0321 1.0184e+14 1.0184e+14
4330.0433 1.0184e+14 1.0184e+14
4330.0545 1.0184e+14 1.0184e+14
4330.0656 1.0184e+14 1.0184e+14
4330.0768 1.0184e+14 1.0184e+14
4330.0880 1.0184e+14 1.0184e+14
4330.0992 1.0184e+14 1.0184e+14
4330.1104 1.0184e+14 1.0184e+14
4330.1215 1.0184e+14 1.0184e+14
4330.1327 1.0184e+14 1.0184e+14
4330.1439 1.0184e+14 1.0184e+14
4330.1551 1.0184e+14 1.0184e+14
4330.1662 1.0184e+14 1.0184e+14
4330.1774 1.0184e+14 1.0184e+14
4330.1886 1.0184e+14 1.0184e+14
4330.1998 1.0184e+14 1.0184e+14
4330.2110 1.0184e+14 1.0184e+14
4330.2221 1.0184e+14 1.0184e+14
4330.2333 1.0184e+14 1.0184e+14
4330.2445 1.0184e+14 1.0184e+14
4330.2557 1.0184e+14 1.0184e+14
4330.2668 1.0185e+14 1.0185e+14
4330.2780 1.0185e+14 1.0185e+14
4330.2892 1.0185e+14 1.0185e+14
4330.3004 1.0185e+14 1.0185e+14
4330.3116 1.0185e+14 1.0185e+14
4330.3227 1.0185e+14 1.0185e+14
4330.3339 1.0185e+14 1.0185e+14
4330.3451 1.0185e+14 1.0185e+14
4330.3563 1.0185e+14 1.0185e+14
4330.3674 1.0185e+14 1.0185e+14
4330.3786 1.0185e+14 1.0185e+14
4330.3898 1.0185e+14 1.0185e+14
4330.4010 1.0185e+14 1.0185e+14
4330.4122 1.0185e+14 1.0185e+14
4330.4233 1.0185e+14 1.0185e+14
4330.4345 1.0185e+14 1.0185e+14
4330.4457 1.0185e+14 1.0185e+14
4330.4569 1.0185e+14 1.0185e+14
4330.4680 1.0185e+14 1.0185e+14
4330.4792 1.0185e+14 1.0185e+14
4330.4904 1.0185e+14 1.0185e+14
4330.5016 1.0185e+14 1.0185e+14
4330.5128 1.0185e+14 1.0185e+14
4330.5239 1.0186e+14 1.0186e+14
4330.5351 1.0186e+14 1.0186e+14
4330.5463 1.0186e+14 1.0186e+14
4330.5575 1.0186e+14 1.0186e+14
4330.5686 1.0186e+14 1.0186e+14
4330.5798 1.0186e+14 1.0186e+14
4330.5910 1.0186e+14 1.0186e+14
4330.6022 1.0186e+14 1.0186e+14
4330.6134 1.0186e+14 1.0186e+14
4330.6245 1.0186e+14 1.0186e+14
4330.6357 1.0186e+14 1.0186e+14
4330.6469 1.0186e+14 1.0186e+14
4330.6581 1.0186e+14 1.0186e+14
4330.6692 1.0186e+14 1.0186e+14
4330.6804 1.0186e+14 1.0186e+14
4330.6916 1.0186e+14 1.0186e+14
4330.7028 1.0186e+14 1.0186e+14
4330.7140 1.0186e+14 1.0186e+14
4330.7251 1.0186e+14 1.0186e+14
4330.7363 1.0186e+14 1.0186e+14
4330.7475 1.0186e+14 1.0186e+14
4330.7587 1.0186e+14 1.0186e+14
4330.7698 1.0186e+14 1.0186e+14
4330.7810 1.0187e+14 1.0187e+14
4330.7922 1.0187e+14 1.0187e+14
4330.8034 1.0187e+14 1.0187e+14
4330.8145 1.0187e+14 1.0187e+14
4330.8257 1.0187e+14 1.0187e+14
4330.8369 1.0187e+14 1.0187e+14
4330.8481 1.0187e+14 1.0187e+14
4330.8593 1.0187e+14 1.0187e+14
4330.8704 1.0187e+14 1.0187e+14
4330.8816 1.0187e+14 1.0187e+14
4330.8928 1.0187e+14 1.0187e+14
4330.9040 1.0187e+14 1.0187e+14
4330.9151 1.0187e+14 1.0187e+14
4330.9263 1.0187e+14 1.0187e+14
4330.9375 1.0187e+14 1.0187e+14
4330.9487 1.0187e+14 1.0187e+14
4330.9599 1.0187e+14 1.0187e+14
4330.9710 1.0187e+14 1.0187e+14
4330.9822 1.0187e+14 1.0187e+14
4330.9934 1.0187e+14 1.0187e+14
