# Wavelength(Å) I_cont(erg/s/cm2/Å/sr) I_abs(erg/s/cm2/Å/sr)
4088.3458 1.2974e+15 1.5547e+14
4088.3592 1.2974e+15 1.5525e+14
4088.3725 1.2974e+15 1.5502e+14
4088.3859 1.2974e+15 1.5480e+14
4088.3992 1.2974e+15 1.5458e+14
4088.4126 1.2974e+15 1.5435e+14
4088.4260 1.2974e+15 1.5413e+14
4088.4393 1.2974e+15 1.5391e+14
4088.4527 1.2974e+15 1.5369e+14
4088.4660 1.2974e+15 1.5346e+14
4088.4794 1.2974e+15 1.5324e+14
4088.4928 1.2974e+15 1.5302e+14
4088.5061 1.2974e+15 1.5280e+14
4088.5195 1.2974e+15 1.5258e+14
4088.5328 1.2974e+15 1.5235e+14
4088.5462 1.2974e+15 1.5213e+14
4088.5596 1.2974e+15 1.5191e+14
4088.5729 1.2974e+15 1.5169e+14
4088.5863 1.2974e+15 1.5147e+14
4088.5996 1.2974e+15 1.5125e+14
4088.6130 1.2974e+15 1.5103e+14
4088.6264 1.2974e+15 1.5081e+14
4088.6397 1.2974e+15 1.5059e+14
4088.6531 1.2974e+15 1.5038e+14
4088.6665 1.2974e+15 1.5016e+14
4088.6798 1.2974e+15 1.4994e+14
4088.6932 1.2974e+15 1.4972e+14
4088.7065 1.2974e+15 1.4950e+14
4088.7199 1.2974e+15 1.4928e+14
4088.7333 1.2974e+15 1.4907e+14
4088.7466 1.2974e+15 1.4885e+14
4088.7600 1.2974e+15 1.4863e+14
4088.7733 1.2974e+15 1.4842e+14
4088.7867 1.2974e+15 1.4820e+14
4088.8001 1.2974e+15 1.4798e+14
4088.8134 1.2974e+15 1.4777e+14
4088.8268 1.2974e+15 1.4755e+14
4088.8401 1.2974e+15 1.4734e+14
4088.8535 1.2974e+15 1.4712e+14
4088.8669 1.2974e+15 1.4691e+14
4088.8802 1.2974e+15 1.4669e+14
4088.8936 1.2974e+15 1.4648e+14
4088.9069 1.2974e+15 1.4626e+14
4088.9203 1.2973e+15 1.4605e+14
4088.9337 1.2973e+15 1.4583e+14
4088.9470 1.2973e+15 1.4562e+14
4088.9604 1.2973e+15 1.4541e+14
4088.9738 1.2973e+15 1.4519e+14
4088.9871 1.2973e+15 1.4498e+14
4089.0005 1.2973e+15 1.4477e+14
4089.0138 1.2973e+15 1.4456e+14
4089.0272 1.2973e+15 1.4435e+14
4089.0406 1.2973e+15 1.4413e+14
4089.0539 1.2973e+15 1.4392e+14
4089.0673 1.2973e+15 1.4371e+14
4089.0806 1.2973e+15 1.4350e+14
4089.0940 1.2973e+15 1.4329e+14
4089.1074 1.2973e+15 1.4308e+14
4089.1207 1.2973e+15 1.4287e+14
4089.1341 1.2973e+15 1.4266e+14
4089.1474 1.2973e+15 1.4245e+14
4089.1608 1.2973e+15 1.4224e+14
4089.1742 1.2973e+15 1.4203e+14
4089.1875 1.2973e+15 1.4182e+14
4089.2009 1.2973e+15 1.4161e+14
4089.2142 1.2973e+15 1.4140e+14
4089.2276 1.2973e+15 1.4120e+14
4089.2410 1.2973e+15 1.4099e+14
4089.2543 1.2973e+15 1.4078e+14
4089.2677 1.2973e+15 1.4057e+14
4089.2811 1.2973e+15 1.4037e+14
4089.2944 1.2973e+15 1.4016e+14
4089.3078 1.2973e+15 1.3995e+14
4089.3211 1.2973e+15 1.3975e+14
4089.3345 1.2973e+15 1.3954e+14
4089.3479 1.2973e+15 1.3933e+14
4089.3612 1.2973e+15 1.3913e+14
4089.3746 1.2973e+15 1.3892e+14
4089.3879 1.2973e+15 1.3872e+14
4089.4013 1.2973e+15 1.3851e+14
4089.4147 1.2973e+15 1.3831e+14
4089.4280 1.2973e+15 1.3810e+14
4089.4414 1.2973e+15 1.3790e+14
4089.4547 1.2973e+15 1.3770e+14
4089.4681 1.2973e+15 1.3749e+14
4089.4815 1.2973e+15 1.3729e+14
4089.4948 1.2972e+15 1.3709e+14
4089.5082 1.2972e+15 1.3688e+14
4089.5215 1.2972e+15 1.3668e+14
4089.5349 1.2972e+15 1.3648e+14
4089.5483 1.2972e+15 1.3628e+14
4089.5616 1.2972e+15 1.3607e+14
4089.5750 1.2972e+15 1.3587e+14
4089.5884 1.2972e+15 1.3567e+14
